observation --- [419, 464, 55, 480, 210, 157, 564, 868] info --- {'sequence': ['N225', 'N662', 'N81', 'E176', 'E17', 'E5', 'E204', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1192267198901071 loss --- 1136.8692626953125 logZ --- 1.0199730396270752
observation --- [681, 85, 191, 115, 673, 557, 496, 868] info --- {'sequence': ['N353', 'N218', 'N474', 'E33', 'E16', 'E114', 'E65', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1593389803644985 loss --- 1103.630126953125 logZ --- 1.0199730396270752
observation --- [415, 761, 519, 87, 158, 232, 842, 868] info --- {'sequence': ['N386', 'N327', 'N456', 'E71', 'E34', 'E215', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 168.66969299316406 logZ --- 1.0199730396270752
observation --- [695, 365, 214, 216, 312, 647, 443, 868] info --- {'sequence': ['N196', 'N184', 'N592', 'E74', 'E153', 'E52', 'E47', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1252730632478296 loss --- 1125.3447265625 logZ --- 1.0199730396270752
observation --- [853, 834, 438, 161, 759, 299, 491, 868] info --- {'sequence': ['N298', 'N371', 'N130', 'E85', 'E38', 'E225', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.279931603602355 loss --- 1124.6783447265625 logZ --- 1.0249660015106201
observation --- [458, 653, 635, 624, 751, 40, 589, 868] info --- {'sequence': ['N610', 'N600', 'N641', 'E199', 'E50', 'E123', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3850847701300393 loss --- 1075.666748046875 logZ --- 1.0249660015106201
observation --- [602, 28, 357, 13, 819, 195, 813, 868] info --- {'sequence': ['N19', 'N39', 'N495', 'E222', 'E137', 'E81', 'E203', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1198853139647453 loss --- 1160.8109130859375 logZ --- 1.0249660015106201
observation --- [769, 159, 429, 47, 319, 63, 842, 868] info --- {'sequence': ['N51', 'N461', 'N63', 'E8', 'E44', 'E76', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0289122669560393 loss --- 1158.7899169921875 logZ --- 1.0249660015106201
observation --- [704, 659, 778, 331, 366, 201, 452, 868] info --- {'sequence': ['N485', 'N313', 'N687', 'E20', 'E170', 'E19', 'E67', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5347239492936486 loss --- 1120.5753173828125 logZ --- 1.0249660015106201
observation --- [792, 537, 519, 262, 600, 567, 170, 868] info --- {'sequence': ['N277', 'N215', 'N456', 'E228', 'E53', 'E3', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1420589532671395 loss --- 1153.5247802734375 logZ --- 1.0299854278564453
observation --- [136, 222, 657, 17, 846, 246, 70, 868] info --- {'sequence': ['N519', 'N385', 'N484', 'E219', 'E32', 'E185', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 183.10174560546875 logZ --- 1.0299854278564453
observation --- [519, 428, 249, 366, 799, 632, 604, 868] info --- {'sequence': ['N456', 'N492', 'N321', 'E170', 'E166', 'E143', 'E4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3994339897236163 loss --- 1100.5838623046875 logZ --- 1.0299854278564453
observation --- [704, 806, 591, 403, 460, 225, 124, 868] info --- {'sequence': ['N485', 'N156', 'N137', 'E116', 'E192', 'E78', 'E135', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0899846332237557 loss --- 1052.583740234375 logZ --- 1.0299854278564453
observation --- [519, 222, 556, 245, 520, 748, 278, 868] info --- {'sequence': ['N456', 'N385', 'N717', 'E230', 'E113', 'E22', 'E197', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2705662569675475 loss --- 1158.4598388671875 logZ --- 1.0299854278564453
observation --- [55, 834, 249, 87, 510, 796, 632, 868] info --- {'sequence': ['N81', 'N371', 'N321', 'E71', 'E190', 'E59', 'E143', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0098575119628843 loss --- 1088.318359375 logZ --- 1.03499436378479
observation --- [695, 9, 438, 243, 846, 278, 751, 868] info --- {'sequence': ['N196', 'N238', 'N130', 'E15', 'E32', 'E197', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 175.10304260253906 logZ --- 1.03499436378479
observation --- [19, 718, 2, 117, 33, 474, 23, 868] info --- {'sequence': ['N639', 'N388', 'N80', 'E42', 'E162', 'E70', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.377171101976661 loss --- 1160.097412109375 logZ --- 1.03499436378479
observation --- [704, 220, 861, 862, 709, 40, 99, 868] info --- {'sequence': ['N485', 'N164', 'N558', 'E18', 'E1', 'E123', 'E21', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2716097508280695 loss --- 1162.8739013671875 logZ --- 1.03499436378479
observation --- [438, 617, 59, 135, 813, 811, 620, 868] info --- {'sequence': ['N130', 'N346', 'N23', 'E194', 'E203', 'E90', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2480859119391532 loss --- 1145.636962890625 logZ --- 1.03499436378479
observation --- [316, 645, 415, 408, 405, 606, 183, 868] info --- {'sequence': ['N110', 'N115', 'N386', 'E152', 'E119', 'E110', 'E151', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.458984433223239 loss --- 1215.99609375 logZ --- 1.0399976968765259
observation --- [67, 220, 89, 40, 600, 671, 189, 868] info --- {'sequence': ['N157', 'N164', 'N473', 'E123', 'E53', 'E97', 'E66', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2904264973318653 loss --- 1093.9920654296875 logZ --- 1.0399976968765259
observation --- [77, 129, 65, 183, 487, 547, 750, 868] info --- {'sequence': ['N477', 'N52', 'N186', 'E151', 'E181', 'E125', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0540913022668563 loss --- 1078.4407958984375 logZ --- 1.0399976968765259
observation --- [792, 706, 429, 260, 612, 680, 633, 868] info --- {'sequence': ['N277', 'N50', 'N63', 'E83', 'E157', 'E104', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4027841316004985 loss --- 1143.43994140625 logZ --- 1.0399976968765259
observation --- [812, 706, 422, 613, 440, 42, 23, 868] info --- {'sequence': ['N415', 'N50', 'N579', 'E115', 'E30', 'E160', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3583150035794957 loss --- 1119.8367919921875 logZ --- 1.0399976968765259
observation --- [295, 57, 591, 126, 748, 680, 126, 868] info --- {'sequence': ['N679', 'N34', 'N137', 'E112', 'E22', 'E104', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3880633342532984 loss --- 1128.46728515625 logZ --- 1.0450271368026733
observation --- [21, 617, 21, 867, 118, 195, 631, 868] info --- {'sequence': ['N411', 'N346', 'N411', 'none', 'E224', 'E81', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0821110440132131 loss --- 1147.6727294921875 logZ --- 1.0450271368026733
observation --- [795, 666, 153, 567, 195, 561, 599, 868] info --- {'sequence': ['N408', 'N466', 'N117', 'E3', 'E81', 'E216', 'E174', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.254982503320273 loss --- 1121.578125 logZ --- 1.0450271368026733
observation --- [795, 537, 357, 647, 42, 819, 842, 868] info --- {'sequence': ['N408', 'N215', 'N495', 'E52', 'E160', 'E137', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 171.1976318359375 logZ --- 1.0450271368026733
observation --- [153, 57, 812, 589, 158, 467, 225, 868] info --- {'sequence': ['N117', 'N34', 'N415', 'E121', 'E34', 'E10', 'E78', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5460011451904327 loss --- 1120.574951171875 logZ --- 1.0450271368026733
observation --- [485, 653, 602, 467, 431, 472, 193, 868] info --- {'sequence': ['N79', 'N600', 'N19', 'E10', 'E168', 'E131', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3940001450112816 loss --- 1121.3480224609375 logZ --- 1.0500433444976807
observation --- [826, 113, 861, 120, 73, 402, 589, 868] info --- {'sequence': ['N606', 'N515', 'N558', 'E191', 'E94', 'E61', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2879162939018534 loss --- 1104.3819580078125 logZ --- 1.0500433444976807
observation --- [519, 113, 429, 518, 414, 522, 589, 868] info --- {'sequence': ['N456', 'N515', 'N63', 'E232', 'E188', 'E183', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2500264929561664 loss --- 1115.1187744140625 logZ --- 1.0500433444976807
observation --- [154, 449, 422, 813, 837, 319, 63, 868] info --- {'sequence': ['N488', 'N562', 'N579', 'E203', 'E139', 'E44', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 187.56869506835938 logZ --- 1.0500433444976807
observation --- [458, 406, 792, 124, 63, 277, 285, 868] info --- {'sequence': ['N610', 'N367', 'N277', 'E135', 'E76', 'E132', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5241069982667257 loss --- 1113.217529296875 logZ --- 1.0500433444976807
observation --- [219, 706, 214, 751, 252, 779, 405, 868] info --- {'sequence': ['N611', 'N50', 'N592', 'E50', 'E233', 'E51', 'E119', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1615454022844667 loss --- 1104.35888671875 logZ --- 1.0550484657287598
observation --- [853, 272, 93, 779, 606, 579, 813, 868] info --- {'sequence': ['N298', 'N393', 'N403', 'E51', 'E110', 'E173', 'E203', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0365093830217893 loss --- 1133.7646484375 logZ --- 1.0550484657287598
observation --- [585, 372, 481, 292, 70, 776, 40, 868] info --- {'sequence': ['N20', 'N607', 'N246', 'E43', 'E92', 'E105', 'E123', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2060461510653886 loss --- 1086.7781982421875 logZ --- 1.0550484657287598
observation --- [657, 558, 591, 557, 632, 5, 477, 868] info --- {'sequence': ['N484', 'N3', 'N137', 'E114', 'E143', 'E56', 'E169', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1208056043760035 loss --- 1035.4024658203125 logZ --- 1.0550484657287598
observation --- [294, 113, 154, 118, 453, 528, 193, 868] info --- {'sequence': ['N315', 'N515', 'N488', 'E224', 'E27', 'E26', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3984745080871799 loss --- 1186.561767578125 logZ --- 1.0550484657287598
observation --- [200, 34, 294, 470, 194, 11, 672, 868] info --- {'sequence': ['N621', 'N57', 'N315', 'E205', 'E36', 'E25', 'E201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4280252754223741 loss --- 1110.4713134765625 logZ --- 1.0600781440734863
observation --- [2, 134, 704, 142, 837, 487, 183, 868] info --- {'sequence': ['N80', 'N693', 'N485', 'E210', 'E139', 'E181', 'E151', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1667248255905038 loss --- 1151.63037109375 logZ --- 1.0600781440734863
observation --- [585, 653, 434, 496, 292, 443, 622, 868] info --- {'sequence': ['N20', 'N600', 'N377', 'E65', 'E43', 'E47', 'E147', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3185722611831499 loss --- 1069.0797119140625 logZ --- 1.0600781440734863
observation --- [39, 523, 843, 624, 474, 758, 73, 868] info --- {'sequence': ['N416', 'N188', 'N320', 'E199', 'E70', 'E80', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1723696535221275 loss --- 1153.2904052734375 logZ --- 1.0600781440734863
observation --- [191, 645, 812, 175, 484, 63, 42, 868] info --- {'sequence': ['N474', 'N115', 'N415', 'E184', 'E109', 'E76', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.017650636143921 loss --- 1127.2803955078125 logZ --- 1.0600781440734863
observation --- [826, 464, 485, 109, 615, 846, 522, 868] info --- {'sequence': ['N606', 'N662', 'N79', 'E40', 'E141', 'E32', 'E183', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.7242533377402476 loss --- 1111.5960693359375 logZ --- 1.065129041671753
observation --- [136, 464, 214, 484, 404, 227, 27, 868] info --- {'sequence': ['N519', 'N662', 'N592', 'E109', 'E122', 'E175', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2934246324103846 loss --- 1150.6446533203125 logZ --- 1.065129041671753
observation --- [556, 365, 635, 620, 470, 158, 87, 868] info --- {'sequence': ['N717', 'N184', 'N641', 'E229', 'E205', 'E34', 'E71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.225269068058868 loss --- 1116.5655517578125 logZ --- 1.065129041671753
observation --- [136, 834, 64, 23, 292, 87, 582, 868] info --- {'sequence': ['N519', 'N371', 'N285', 'E136', 'E43', 'E71', 'E178', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0153524675761214 loss --- 1127.2899169921875 logZ --- 1.065129041671753
observation --- [321, 9, 153, 453, 11, 632, 604, 868] info --- {'sequence': ['N231', 'N238', 'N117', 'E27', 'E25', 'E143', 'E4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2444429204972263 loss --- 1073.41650390625 logZ --- 1.065129041671753
observation --- [686, 370, 585, 328, 402, 87, 827, 868] info --- {'sequence': ['N126', 'N256', 'N20', 'E102', 'E61', 'E71', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1301735073591264 loss --- 1122.653564453125 logZ --- 1.0701961517333984
