observation --- [172, 814, 202, 776, 29, 868] info --- {'sequence': ['N409', 'N190', 'N376', 'E105', 'E180', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.069035530090332 logZ --- 1.0200073719024658
observation --- [164, 537, 139, 847, 643, 868] info --- {'sequence': ['N292', 'N215', 'N44', 'E221', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0640805807274347 loss --- 546.3692016601562 logZ --- 1.0247467756271362
observation --- [326, 454, 390, 750, 662, 868] info --- {'sequence': ['N710', 'N520', 'N330', 'E64', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1467424252777103 loss --- 549.2252197265625 logZ --- 1.0247467756271362
observation --- [342, 57, 233, 813, 285, 868] info --- {'sequence': ['N437', 'N34', 'N43', 'E203', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5263336642597338 loss --- 558.169189453125 logZ --- 1.0247467756271362
observation --- [732, 552, 455, 315, 633, 868] info --- {'sequence': ['N390', 'N305', 'N564', 'E99', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.028091288830468 loss --- 496.927978515625 logZ --- 1.0247467756271362
observation --- [231, 464, 202, 116, 508, 868] info --- {'sequence': ['N211', 'N662', 'N376', 'E163', 'E155', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.952146530151367 logZ --- 1.0247467756271362
observation --- [137, 766, 228, 847, 161, 868] info --- {'sequence': ['N387', 'N310', 'N200', 'E221', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0755666374062078 loss --- 533.290283203125 logZ --- 1.0295939445495605
observation --- [390, 806, 41, 862, 315, 868] info --- {'sequence': ['N330', 'N156', 'N551', 'E18', 'E99', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.815896987915039 logZ --- 1.0295939445495605
observation --- [186, 365, 332, 808, 506, 868] info --- {'sequence': ['N561', 'N184', 'N399', 'E2', 'E127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3912367680506441 loss --- 521.2938232421875 logZ --- 1.0295939445495605
observation --- [574, 674, 324, 750, 47, 868] info --- {'sequence': ['N127', 'N32', 'N42', 'E64', 'E8', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2519763283801346 loss --- 543.9019165039062 logZ --- 1.0295939445495605
observation --- [439, 54, 574, 484, 663, 868] info --- {'sequence': ['N46', 'N93', 'N127', 'E109', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0054899731549747 loss --- 504.47357177734375 logZ --- 1.0295939445495605
observation --- [164, 387, 172, 582, 583, 868] info --- {'sequence': ['N292', 'N113', 'N409', 'E178', 'E103', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.673432350158691 logZ --- 1.03451669216156
observation --- [601, 54, 697, 208, 23, 868] info --- {'sequence': ['N128', 'N93', 'N623', 'E158', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.89422607421875 logZ --- 1.03451669216156
observation --- [324, 395, 186, 378, 682, 868] info --- {'sequence': ['N42', 'N708', 'N561', 'E29', 'E209', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1744308756317683 loss --- 564.1917724609375 logZ --- 1.03451669216156
observation --- [407, 806, 151, 700, 262, 868] info --- {'sequence': ['N255', 'N156', 'N575', 'E60', 'E228', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.535416603088379 logZ --- 1.03451669216156
observation --- [509, 34, 164, 285, 170, 868] info --- {'sequence': ['N202', 'N57', 'N292', 'E57', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.268566242727023 loss --- 541.7021484375 logZ --- 1.03451669216156
observation --- [856, 265, 574, 774, 232, 868] info --- {'sequence': ['N603', 'N398', 'N127', 'E161', 'E215', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2165927389160927 loss --- 538.7694702148438 logZ --- 1.039353370666504
observation --- [49, 406, 705, 354, 331, 868] info --- {'sequence': ['N498', 'N367', 'N539', 'E148', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.526905261112275 loss --- 578.23046875 logZ --- 1.039353370666504
observation --- [15, 220, 642, 599, 319, 868] info --- {'sequence': ['N207', 'N164', 'N27', 'E174', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.353340148925781 logZ --- 1.039353370666504
observation --- [247, 699, 767, 496, 750, 868] info --- {'sequence': ['N524', 'N219', 'N259', 'E65', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.36451466066013 loss --- 534.1521606445312 logZ --- 1.039353370666504
observation --- [247, 317, 46, 189, 867, 868] info --- {'sequence': ['N524', 'N2', 'N470', 'E66', 'none', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.728477954864502 logZ --- 1.039353370666504
observation --- [144, 34, 361, 474, 420, 868] info --- {'sequence': ['N257', 'N57', 'N424', 'E70', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.395236699836366 loss --- 556.6219482421875 logZ --- 1.0442180633544922
observation --- [381, 537, 754, 17, 63, 868] info --- {'sequence': ['N1', 'N215', 'N194', 'E219', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0802482643215934 loss --- 511.7860107421875 logZ --- 1.0442180633544922
observation --- [493, 766, 308, 817, 612, 868] info --- {'sequence': ['N557', 'N310', 'N193', 'E88', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0889400310687951 loss --- 537.265625 logZ --- 1.0442180633544922
observation --- [493, 806, 336, 667, 460, 868] info --- {'sequence': ['N557', 'N156', 'N360', 'E134', 'E192', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.489640235900879 logZ --- 1.0442180633544922
observation --- [733, 386, 350, 646, 110, 868] info --- {'sequence': ['N445', 'N514', 'N705', 'E106', 'E202', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3553450124242405 loss --- 558.6058349609375 logZ --- 1.0442180633544922
observation --- [734, 272, 390, 201, 17, 868] info --- {'sequence': ['N448', 'N393', 'N330', 'E19', 'E219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.40548849105835 logZ --- 1.049161672592163
observation --- [139, 263, 541, 315, 402, 868] info --- {'sequence': ['N44', 'N76', 'N87', 'E99', 'E61', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0492451471777775 loss --- 525.6529541015625 logZ --- 1.049161672592163
observation --- [97, 598, 478, 201, 687, 868] info --- {'sequence': ['N112', 'N312', 'N4', 'E19', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.812771797180176 logZ --- 1.049161672592163
observation --- [373, 57, 729, 305, 751, 868] info --- {'sequence': ['N538', 'N34', 'N12', 'E7', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.467215351297782 loss --- 540.1741943359375 logZ --- 1.049161672592163
observation --- [114, 714, 231, 557, 474, 868] info --- {'sequence': ['N355', 'N697', 'N211', 'E114', 'E70', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.151203155517578 logZ --- 1.049161672592163
observation --- [705, 562, 767, 781, 477, 868] info --- {'sequence': ['N539', 'N68', 'N259', 'E138', 'E169', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.934325218200684 logZ --- 1.0540074110031128
observation --- [375, 34, 350, 862, 487, 868] info --- {'sequence': ['N288', 'N57', 'N705', 'E18', 'E181', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2502531046603849 loss --- 521.9212036132812 logZ --- 1.0540074110031128
observation --- [835, 159, 289, 243, 631, 868] info --- {'sequence': ['N689', 'N461', 'N580', 'E15', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.0892333984375 logZ --- 1.0540074110031128
observation --- [326, 265, 525, 491, 47, 868] info --- {'sequence': ['N710', 'N398', 'N525', 'E39', 'E8', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.233224349513348 loss --- 533.8942260742188 logZ --- 1.0540074110031128
observation --- [373, 756, 248, 631, 836, 868] info --- {'sequence': ['N538', 'N627', 'N174', 'E187', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.489871978759766 logZ --- 1.0540074110031128
observation --- [145, 807, 231, 388, 663, 868] info --- {'sequence': ['N263', 'N99', 'N211', 'E28', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2085658658385694 loss --- 547.6539916992188 logZ --- 1.058779239654541
observation --- [230, 710, 186, 328, 783, 868] info --- {'sequence': ['N654', 'N404', 'N561', 'E102', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 15.981679916381836 logZ --- 1.058779239654541
observation --- [712, 598, 261, 408, 791, 868] info --- {'sequence': ['N665', 'N312', 'N618', 'E152', 'E177', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1473609968817278 loss --- 521.7362060546875 logZ --- 1.058779239654541
observation --- [144, 666, 541, 528, 161, 868] info --- {'sequence': ['N257', 'N466', 'N87', 'E26', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.225018501281738 logZ --- 1.058779239654541
observation --- [171, 85, 307, 354, 477, 868] info --- {'sequence': ['N100', 'N218', 'N688', 'E148', 'E169', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.966253757476807 logZ --- 1.058779239654541
observation --- [144, 714, 289, 636, 29, 868] info --- {'sequence': ['N257', 'N697', 'N580', 'E82', 'E180', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.94265365600586 logZ --- 1.0634949207305908
observation --- [734, 710, 373, 725, 700, 868] info --- {'sequence': ['N448', 'N404', 'N538', 'E179', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.83197021484375 logZ --- 1.0634949207305908
