observation --- [263, 383, 19, 836, 12, 868] info --- {'sequence': ['N76', 'N103', 'N639', 'E128', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.050898286195249 loss --- 395.8672180175781 logZ --- 1.0172233581542969
observation --- [44, 374, 424, 245, 620, 868] info --- {'sequence': ['N719', 'N142', 'N18', 'E230', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.2620220184326172 logZ --- 1.0214077234268188
observation --- [806, 383, 84, 654, 403, 868] info --- {'sequence': ['N156', 'N103', 'N410', 'E145', 'E116', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.3314415216445923 logZ --- 1.0214077234268188
observation --- [9, 374, 67, 246, 622, 868] info --- {'sequence': ['N238', 'N142', 'N157', 'E185', 'E147', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.22208066284656525 logZ --- 1.0214077234268188
observation --- [9, 25, 489, 748, 99, 868] info --- {'sequence': ['N238', 'N677', 'N429', 'E22', 'E21', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1554945399544565 loss --- 374.39801025390625 logZ --- 1.0214077234268188
observation --- [342, 383, 591, 582, 518, 868] info --- {'sequence': ['N437', 'N103', 'N137', 'E178', 'E232', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.09387646615505219 logZ --- 1.0214077234268188
observation --- [54, 476, 321, 208, 118, 868] info --- {'sequence': ['N93', 'N585', 'N231', 'E158', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0400072152910709 loss --- 371.64678955078125 logZ --- 1.025414228439331
observation --- [666, 25, 570, 781, 649, 868] info --- {'sequence': ['N466', 'N677', 'N516', 'E138', 'E101', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1114911748621281 loss --- 386.9167175292969 logZ --- 1.025414228439331
observation --- [710, 25, 422, 63, 646, 868] info --- {'sequence': ['N404', 'N677', 'N579', 'E76', 'E106', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.1078062504529953 logZ --- 1.025414228439331
observation --- [317, 25, 64, 671, 168, 868] info --- {'sequence': ['N2', 'N677', 'N285', 'E97', 'E159', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.0065146684646606 logZ --- 1.025414228439331
observation --- [598, 383, 295, 400, 278, 868] info --- {'sequence': ['N312', 'N103', 'N679', 'E63', 'E197', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.04185076057910919 logZ --- 1.025414228439331
observation --- [710, 383, 59, 175, 210, 868] info --- {'sequence': ['N404', 'N103', 'N23', 'E184', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1371897459030151 logZ --- 1.0295904874801636
observation --- [461, 374, 215, 567, 408, 868] info --- {'sequence': ['N359', 'N142', 'N176', 'E3', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.608258991036564e-05 logZ --- 1.0295904874801636
observation --- [44, 476, 419, 87, 246, 868] info --- {'sequence': ['N719', 'N585', 'N225', 'E71', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9825899004936218 logZ --- 1.0295904874801636
observation --- [523, 374, 147, 225, 188, 868] info --- {'sequence': ['N188', 'N142', 'N535', 'E78', 'E35', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.204578495026402 loss --- 408.3136291503906 logZ --- 1.0295904874801636
observation --- [674, 383, 334, 557, 403, 868] info --- {'sequence': ['N32', 'N103', 'N163', 'E114', 'E116', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0398399312946616 loss --- 348.0565185546875 logZ --- 1.0295904874801636
observation --- [323, 476, 853, 167, 27, 868] info --- {'sequence': ['N89', 'N585', 'N298', 'E193', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.23464131355285645 logZ --- 1.0338890552520752
observation --- [537, 25, 434, 529, 42, 868] info --- {'sequence': ['N215', 'N677', 'N377', 'E129', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.42115911841392517 logZ --- 1.0338890552520752
observation --- [372, 383, 512, 764, 275, 868] info --- {'sequence': ['N607', 'N103', 'N96', 'E69', 'E207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.005208301747116 loss --- 354.6954040527344 logZ --- 1.0338890552520752
observation --- [54, 476, 21, 167, 292, 868] info --- {'sequence': ['N93', 'N585', 'N411', 'E193', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.35494858026504517 logZ --- 1.0338890552520752
observation --- [674, 383, 214, 833, 292, 868] info --- {'sequence': ['N32', 'N103', 'N592', 'E89', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.4723809063434601 logZ --- 1.0338890552520752
observation --- [674, 374, 153, 639, 331, 868] info --- {'sequence': ['N32', 'N142', 'N117', 'E6', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.10541979223489761 logZ --- 1.0380239486694336
observation --- [454, 374, 585, 188, 216, 868] info --- {'sequence': ['N520', 'N142', 'N20', 'E35', 'E74', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0005642581963911653 logZ --- 1.0380239486694336
observation --- [710, 383, 297, 457, 33, 868] info --- {'sequence': ['N404', 'N103', 'N713', 'E130', 'E162', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.8929811716079712 logZ --- 1.0380239486694336
observation --- [386, 25, 2, 277, 836, 868] info --- {'sequence': ['N514', 'N677', 'N80', 'E132', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1127841472625732 logZ --- 1.0380239486694336
observation --- [461, 476, 55, 245, 725, 868] info --- {'sequence': ['N359', 'N585', 'N81', 'E230', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.15310092270374298 logZ --- 1.0380239486694336
observation --- [88, 25, 795, 867, 633, 868] info --- {'sequence': ['N168', 'N677', 'N408', 'none', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.27609342336654663 logZ --- 1.0416533946990967
observation --- [272, 374, 214, 42, 592, 868] info --- {'sequence': ['N393', 'N142', 'N592', 'E160', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.165121936239302e-06 logZ --- 1.0416533946990967
observation --- [433, 383, 84, 27, 805, 868] info --- {'sequence': ['N649', 'N103', 'N410', 'E73', 'E150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.8436474204063416 logZ --- 1.0416533946990967
observation --- [372, 374, 635, 126, 682, 868] info --- {'sequence': ['N607', 'N142', 'N641', 'E112', 'E209', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0027638415340334177 logZ --- 1.0416533946990967
observation --- [761, 374, 424, 5, 227, 868] info --- {'sequence': ['N327', 'N142', 'N18', 'E56', 'E175', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.48749420046806335 logZ --- 1.0416533946990967
observation --- [433, 476, 843, 671, 803, 868] info --- {'sequence': ['N649', 'N585', 'N320', 'E97', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.009407543577253819 logZ --- 1.0448602437973022
observation --- [807, 374, 321, 14, 470, 868] info --- {'sequence': ['N99', 'N142', 'N231', 'E171', 'E205', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.14804019033908844 logZ --- 1.0448602437973022
observation --- [490, 383, 39, 663, 615, 868] info --- {'sequence': ['N158', 'N103', 'N416', 'E133', 'E141', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0448277621352329 loss --- 362.8000793457031 logZ --- 1.0448602437973022
observation --- [569, 25, 489, 606, 312, 868] info --- {'sequence': ['N434', 'N677', 'N429', 'E110', 'E153', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.4398232698440552 logZ --- 1.0448602437973022
observation --- [552, 25, 295, 709, 269, 868] info --- {'sequence': ['N305', 'N677', 'N679', 'E1', 'E186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.2237430363893509 logZ --- 1.0448602437973022
observation --- [825, 25, 266, 420, 592, 868] info --- {'sequence': ['N237', 'N677', 'N25', 'E12', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2664282150810149 loss --- 394.03289794921875 logZ --- 1.0480759143829346
observation --- [710, 25, 321, 592, 631, 868] info --- {'sequence': ['N404', 'N677', 'N231', 'E41', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1261436939239502 logZ --- 1.0480759143829346
observation --- [588, 476, 334, 142, 245, 868] info --- {'sequence': ['N271', 'N585', 'N163', 'E210', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.190632410834341 loss --- 382.51068115234375 logZ --- 1.0480759143829346
observation --- [810, 25, 154, 227, 243, 868] info --- {'sequence': ['N109', 'N677', 'N488', 'E175', 'E15', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.0148481130599976 logZ --- 1.0480759143829346
observation --- [765, 25, 84, 799, 79, 868] info --- {'sequence': ['N449', 'N677', 'N410', 'E166', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1007688127596948 loss --- 356.30133056640625 logZ --- 1.0480759143829346
observation --- [251, 374, 55, 484, 726, 868] info --- {'sequence': ['N304', 'N142', 'N81', 'E109', 'E234', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.013285116292536259 logZ --- 1.0517467260360718
observation --- [766, 476, 249, 23, 457, 868] info --- {'sequence': ['N310', 'N585', 'N321', 'E136', 'E130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.19036126136779785 logZ --- 1.0517467260360718
observation --- [807, 476, 585, 430, 615, 868] info --- {'sequence': ['N99', 'N585', 'N20', 'E111', 'E141', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3290849285872488 loss --- 402.7203063964844 logZ --- 1.0517467260360718
observation --- [372, 383, 570, 403, 436, 868] info --- {'sequence': ['N607', 'N103', 'N516', 'E116', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.4981819987297058 logZ --- 1.0517467260360718
observation --- [523, 374, 591, 440, 579, 868] info --- {'sequence': ['N188', 'N142', 'N137', 'E30', 'E173', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.02398797683417797 logZ --- 1.0517467260360718
observation --- [617, 374, 602, 462, 275, 868] info --- {'sequence': ['N346', 'N142', 'N19', 'E31', 'E207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.021019602194428444 logZ --- 1.0553902387619019
observation --- [454, 476, 769, 832, 286, 868] info --- {'sequence': ['N520', 'N585', 'N51', 'E149', 'E54', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.10136483609676361 logZ --- 1.0553902387619019
observation --- [714, 383, 55, 550, 632, 868] info --- {'sequence': ['N697', 'N103', 'N81', 'E108', 'E143', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.34812718629837036 logZ --- 1.0553902387619019
observation --- [674, 25, 64, 29, 225, 868] info --- {'sequence': ['N32', 'N677', 'N285', 'E180', 'E78', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.9687387943267822 logZ --- 1.0553902387619019
observation --- [666, 25, 778, 639, 6, 868] info --- {'sequence': ['N466', 'N677', 'N687', 'E6', 'E23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0489234159202594 loss --- 367.8565368652344 logZ --- 1.0553902387619019
observation --- [674, 383, 695, 73, 738, 868] info --- {'sequence': ['N32', 'N103', 'N196', 'E94', 'E11', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.245833158493042 logZ --- 1.0589829683303833
observation --- [263, 476, 55, 193, 262, 868] info --- {'sequence': ['N76', 'N585', 'N81', 'E77', 'E228', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.46360480785369873 logZ --- 1.0589829683303833
observation --- [598, 374, 65, 366, 822, 868] info --- {'sequence': ['N312', 'N142', 'N186', 'E170', 'E48', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.29072824120521545 logZ --- 1.0589829683303833
observation --- [806, 25, 294, 700, 5, 868] info --- {'sequence': ['N156', 'N677', 'N315', 'E60', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.6456753611564636 logZ --- 1.0589829683303833
observation --- [807, 476, 316, 11, 183, 868] info --- {'sequence': ['N99', 'N585', 'N110', 'E25', 'E151', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1621931791305542 logZ --- 1.0589829683303833
observation --- [387, 383, 214, 719, 292, 868] info --- {'sequence': ['N113', 'N103', 'N592', 'E49', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.1659178733825684 logZ --- 1.0621565580368042
observation --- [706, 374, 591, 42, 175, 868] info --- {'sequence': ['N50', 'N142', 'N137', 'E160', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.1392180472612381 logZ --- 1.0621565580368042
observation --- [765, 476, 64, 170, 414, 868] info --- {'sequence': ['N449', 'N585', 'N285', 'E212', 'E188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0304609452742166 loss --- 383.224853515625 logZ --- 1.0621565580368042
observation --- [251, 25, 853, 583, 5, 868] info --- {'sequence': ['N304', 'N677', 'N298', 'E103', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.2890915870666504 logZ --- 1.0621565580368042
observation --- [653, 374, 65, 142, 633, 868] info --- {'sequence': ['N600', 'N142', 'N186', 'E210', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.3187839090824127 logZ --- 1.0621565580368042
observation --- [674, 383, 854, 312, 612, 868] info --- {'sequence': ['N32', 'N103', 'N60', 'E153', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.0847184658050537 logZ --- 1.0653259754180908
observation --- [718, 383, 424, 832, 520, 868] info --- {'sequence': ['N388', 'N103', 'N18', 'E149', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.16337577998638153 logZ --- 1.0653259754180908
observation --- [159, 383, 200, 832, 606, 868] info --- {'sequence': ['N461', 'N103', 'N621', 'E149', 'E110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.0987684726715088 logZ --- 1.0653259754180908
observation --- [387, 374, 695, 534, 23, 868] info --- {'sequence': ['N113', 'N142', 'N196', 'E126', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.27704232931137085 logZ --- 1.0653259754180908
observation --- [765, 25, 122, 208, 99, 868] info --- {'sequence': ['N449', 'N677', 'N245', 'E158', 'E21', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.893161416053772 logZ --- 1.0653259754180908
observation --- [372, 383, 84, 243, 836, 868] info --- {'sequence': ['N607', 'N103', 'N410', 'E15', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.6461795568466187 logZ --- 1.0681265592575073
observation --- [44, 25, 19, 440, 280, 868] info --- {'sequence': ['N719', 'N677', 'N639', 'E30', 'E72', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.5227118134498596 logZ --- 1.0681265592575073
observation --- [537, 374, 136, 312, 716, 868] info --- {'sequence': ['N215', 'N142', 'N519', 'E153', 'E196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0001459597419957 loss --- 394.99591064453125 logZ --- 1.0681265592575073
observation --- [454, 25, 321, 528, 408, 868] info --- {'sequence': ['N520', 'N677', 'N231', 'E26', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.094623136406229 loss --- 342.7463684082031 logZ --- 1.0681265592575073
observation --- [552, 25, 854, 126, 431, 868] info --- {'sequence': ['N305', 'N677', 'N60', 'E112', 'E168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.01464937999844551 logZ --- 1.0681265592575073
observation --- [714, 374, 415, 210, 567, 868] info --- {'sequence': ['N697', 'N142', 'N386', 'E17', 'E3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0410080851981651 loss --- 378.867431640625 logZ --- 1.0712555646896362
observation --- [428, 476, 21, 124, 561, 868] info --- {'sequence': ['N492', 'N585', 'N411', 'E135', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.23496294021606445 logZ --- 1.0712555646896362
observation --- [765, 476, 316, 366, 673, 868] info --- {'sequence': ['N449', 'N585', 'N110', 'E170', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0903348876770151 loss --- 379.3213195800781 logZ --- 1.0712555646896362
observation --- [54, 25, 458, 677, 639, 868] info --- {'sequence': ['N93', 'N677', 'N610', 'E189', 'E6', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.065545530938344 loss --- 362.5692138671875 logZ --- 1.0712555646896362
observation --- [825, 476, 219, 582, 188, 868] info --- {'sequence': ['N237', 'N585', 'N611', 'E178', 'E35', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1558156397697046 loss --- 379.05413818359375 logZ --- 1.0712555646896362
observation --- [598, 374, 519, 677, 550, 868] info --- {'sequence': ['N312', 'N142', 'N456', 'E189', 'E108', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.011828918941318989 logZ --- 1.0749849081039429
observation --- [88, 383, 792, 646, 646, 868] info --- {'sequence': ['N168', 'N103', 'N277', 'E106', 'E106', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.110793165475075 loss --- 405.8093566894531 logZ --- 1.0749849081039429
observation --- [674, 25, 489, 47, 693, 868] info --- {'sequence': ['N32', 'N677', 'N429', 'E8', 'E95', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.7715343832969666 logZ --- 1.0749849081039429
observation --- [537, 374, 657, 606, 168, 868] info --- {'sequence': ['N215', 'N142', 'N484', 'E110', 'E159', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.46186619997024536 logZ --- 1.0749849081039429
observation --- [714, 374, 489, 646, 677, 868] info --- {'sequence': ['N697', 'N142', 'N429', 'E106', 'E189', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0036265349481254816 logZ --- 1.0749849081039429
observation --- [272, 383, 737, 631, 671, 868] info --- {'sequence': ['N393', 'N103', 'N333', 'E187', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.100369432237801 loss --- 357.25274658203125 logZ --- 1.078658938407898
observation --- [598, 25, 704, 643, 534, 868] info --- {'sequence': ['N312', 'N677', 'N485', 'E107', 'E126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.8785701394081116 logZ --- 1.078658938407898
