observation --- [432, 222, 433, 867] info --- {'sequence': ['N608', 'N385', 'N649', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 42.45418930053711 logZ --- 0.9750313758850098
observation --- [802, 729, 766, 867] info --- {'sequence': ['N576', 'N12', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.30274200439453 logZ --- 0.9750313758850098
observation --- [730, 697, 454, 867] info --- {'sequence': ['N486', 'N623', 'N520', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.611061096191406 logZ --- 0.9700291156768799
observation --- [753, 141, 537, 867] info --- {'sequence': ['N453', 'N13', 'N215', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 42.70566177368164 logZ --- 0.9700291156768799
observation --- [333, 835, 50, 867] info --- {'sequence': ['N680', 'N689', 'N435', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 49.825992584228516 logZ --- 0.9700291156768799
observation --- [720, 239, 54, 867] info --- {'sequence': ['N696', 'N420', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.192440032958984 logZ --- 0.9700291156768799
observation --- [3, 222, 28, 867] info --- {'sequence': ['N555', 'N385', 'N39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.784393310546875 logZ --- 0.9700291156768799
observation --- [611, 247, 91, 867] info --- {'sequence': ['N37', 'N524', 'N307', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.62620162963867 logZ --- 0.9650242924690247
observation --- [425, 46, 90, 867] info --- {'sequence': ['N548', 'N470', 'N450', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 44.11362075805664 logZ --- 0.9650242924690247
observation --- [747, 552, 537, 867] info --- {'sequence': ['N324', 'N305', 'N215', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.230411529541016 logZ --- 0.9650242924690247
observation --- [790, 220, 490, 867] info --- {'sequence': ['N108', 'N164', 'N158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 41.24789047241211 logZ --- 0.9650242924690247
observation --- [259, 756, 386, 867] info --- {'sequence': ['N577', 'N627', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 48.5646858215332 logZ --- 0.9650242924690247
observation --- [437, 387, 406, 867] info --- {'sequence': ['N308', 'N113', 'N367', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 40.59031295776367 logZ --- 0.9600246548652649
observation --- [545, 464, 263, 867] info --- {'sequence': ['N155', 'N662', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 43.48480987548828 logZ --- 0.9600246548652649
observation --- [628, 757, 28, 867] info --- {'sequence': ['N569', 'N464', 'N39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.12876510620117 logZ --- 0.9600246548652649
observation --- [545, 736, 834, 867] info --- {'sequence': ['N155', 'N631', 'N371', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.85190963745117 logZ --- 0.9600246548652649
