observation --- [149, 178, 586, 867] info --- {'sequence': ['N574', 'N444', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.24896240234375 logZ --- 0.9750087261199951
observation --- [398, 178, 695, 867] info --- {'sequence': ['N518', 'N444', 'N196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.0657958984375 logZ --- 0.9750087261199951
observation --- [703, 143, 89, 867] info --- {'sequence': ['N570', 'N650', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 114.28545379638672 logZ --- 0.9700145721435547
observation --- [532, 178, 424, 867] info --- {'sequence': ['N208', 'N444', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.30274963378906 logZ --- 0.9700145721435547
observation --- [623, 178, 21, 867] info --- {'sequence': ['N595', 'N444', 'N411', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.8902816772461 logZ --- 0.9700145721435547
observation --- [111, 143, 602, 867] info --- {'sequence': ['N221', 'N650', 'N19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.6618881225586 logZ --- 0.9700145721435547
observation --- [140, 178, 861, 867] info --- {'sequence': ['N590', 'N444', 'N558', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.90546417236328 logZ --- 0.9700145721435547
observation --- [367, 178, 591, 867] info --- {'sequence': ['N143', 'N444', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.37567901611328 logZ --- 0.9650240540504456
observation --- [820, 143, 635, 867] info --- {'sequence': ['N457', 'N650', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 113.58938598632812 logZ --- 0.9650240540504456
observation --- [859, 143, 438, 867] info --- {'sequence': ['N540', 'N650', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 113.49439239501953 logZ --- 0.9650240540504456
observation --- [823, 143, 826, 867] info --- {'sequence': ['N373', 'N650', 'N606', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.98615264892578 logZ --- 0.9650240540504456
observation --- [300, 143, 485, 867] info --- {'sequence': ['N593', 'N650', 'N79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.258544921875 logZ --- 0.9650240540504456
observation --- [802, 143, 136, 867] info --- {'sequence': ['N576', 'N650', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 112.9119873046875 logZ --- 0.9600355625152588
observation --- [840, 178, 686, 867] info --- {'sequence': ['N214', 'N444', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.47689819335938 logZ --- 0.9600355625152588
observation --- [392, 178, 597, 867] info --- {'sequence': ['N533', 'N444', 'N440', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.40274047851562 logZ --- 0.9600355625152588
observation --- [104, 143, 415, 867] info --- {'sequence': ['N54', 'N650', 'N386', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.02224731445312 logZ --- 0.9600355625152588
observation --- [358, 178, 249, 867] info --- {'sequence': ['N646', 'N444', 'N321', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.23294830322266 logZ --- 0.9600355625152588
observation --- [432, 143, 481, 867] info --- {'sequence': ['N608', 'N650', 'N246', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.36087036132812 logZ --- 0.9550454616546631
observation --- [281, 143, 792, 867] info --- {'sequence': ['N476', 'N650', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.54815673828125 logZ --- 0.9550454616546631
observation --- [140, 143, 55, 867] info --- {'sequence': ['N590', 'N650', 'N81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.0514907836914 logZ --- 0.9550454616546631
observation --- [782, 143, 77, 867] info --- {'sequence': ['N250', 'N650', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 115.76358795166016 logZ --- 0.9550454616546631
observation --- [281, 178, 686, 867] info --- {'sequence': ['N476', 'N444', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.59554290771484 logZ --- 0.9550454616546631
observation --- [746, 178, 482, 867] info --- {'sequence': ['N384', 'N444', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.26815795898438 logZ --- 0.9500572681427002
observation --- [69, 178, 635, 867] info --- {'sequence': ['N382', 'N444', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.9294662475586 logZ --- 0.9500572681427002
observation --- [254, 143, 737, 867] info --- {'sequence': ['N567', 'N650', 'N333', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.96915435791016 logZ --- 0.9500572681427002
observation --- [628, 178, 266, 867] info --- {'sequence': ['N569', 'N444', 'N25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.01283264160156 logZ --- 0.9500572681427002
observation --- [513, 178, 434, 867] info --- {'sequence': ['N630', 'N444', 'N377', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.48835754394531 logZ --- 0.9500572681427002
observation --- [539, 178, 778, 867] info --- {'sequence': ['N339', 'N444', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.19969940185547 logZ --- 0.9450697302818298
observation --- [486, 143, 59, 867] info --- {'sequence': ['N220', 'N650', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.18526458740234 logZ --- 0.9450697302818298
observation --- [511, 143, 812, 867] info --- {'sequence': ['N314', 'N650', 'N415', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.33025360107422 logZ --- 0.9450697302818298
observation --- [488, 178, 556, 867] info --- {'sequence': ['N273', 'N444', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.52373504638672 logZ --- 0.9450697302818298
observation --- [678, 143, 424, 867] info --- {'sequence': ['N657', 'N650', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 115.80303192138672 logZ --- 0.9450697302818298
observation --- [339, 143, 294, 867] info --- {'sequence': ['N334', 'N650', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.89933013916016 logZ --- 0.9400811791419983
observation --- [37, 178, 89, 867] info --- {'sequence': ['N628', 'N444', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 116.83118438720703 logZ --- 0.9400811791419983
observation --- [140, 143, 778, 867] info --- {'sequence': ['N590', 'N650', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.99050903320312 logZ --- 0.9400811791419983
observation --- [536, 178, 686, 867] info --- {'sequence': ['N336', 'N444', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.33712005615234 logZ --- 0.9400811791419983
observation --- [849, 178, 422, 867] info --- {'sequence': ['N438', 'N444', 'N579', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.24635314941406 logZ --- 0.9400811791419983
observation --- [377, 143, 778, 867] info --- {'sequence': ['N667', 'N650', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.37444305419922 logZ --- 0.9350935816764832
observation --- [371, 178, 419, 867] info --- {'sequence': ['N634', 'N444', 'N225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.67903137207031 logZ --- 0.9350935816764832
observation --- [18, 178, 55, 867] info --- {'sequence': ['N341', 'N444', 'N81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.8689956665039 logZ --- 0.9350935816764832
observation --- [859, 178, 19, 867] info --- {'sequence': ['N540', 'N444', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.37647247314453 logZ --- 0.9350935816764832
observation --- [513, 178, 294, 867] info --- {'sequence': ['N630', 'N444', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.37947845458984 logZ --- 0.9350935816764832
observation --- [536, 178, 635, 867] info --- {'sequence': ['N336', 'N444', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 116.80873107910156 logZ --- 0.9301059246063232
observation --- [533, 143, 635, 867] info --- {'sequence': ['N6', 'N650', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 110.71064758300781 logZ --- 0.9301059246063232
observation --- [623, 143, 444, 867] info --- {'sequence': ['N595', 'N650', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.72469329833984 logZ --- 0.9301059246063232
observation --- [628, 178, 585, 867] info --- {'sequence': ['N569', 'N444', 'N20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.18730163574219 logZ --- 0.9301059246063232
observation --- [451, 178, 219, 867] info --- {'sequence': ['N36', 'N444', 'N611', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.0419692993164 logZ --- 0.9301059246063232
observation --- [7, 143, 77, 867] info --- {'sequence': ['N265', 'N650', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 115.46178436279297 logZ --- 0.9251199960708618
observation --- [857, 178, 59, 867] info --- {'sequence': ['N306', 'N444', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.37569427490234 logZ --- 0.9251199960708618
observation --- [107, 178, 481, 867] info --- {'sequence': ['N467', 'N444', 'N246', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.04450988769531 logZ --- 0.9251199960708618
observation --- [16, 143, 89, 867] info --- {'sequence': ['N309', 'N650', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 113.02677154541016 logZ --- 0.9251199960708618
observation --- [130, 143, 826, 867] info --- {'sequence': ['N173', 'N650', 'N606', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.83334350585938 logZ --- 0.9251199960708618
observation --- [849, 178, 316, 867] info --- {'sequence': ['N438', 'N444', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.2845687866211 logZ --- 0.9201351404190063
observation --- [611, 178, 769, 867] info --- {'sequence': ['N37', 'N444', 'N51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.87319946289062 logZ --- 0.9201351404190063
observation --- [475, 178, 422, 867] info --- {'sequence': ['N406', 'N444', 'N579', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.47781372070312 logZ --- 0.9201351404190063
observation --- [108, 143, 792, 867] info --- {'sequence': ['N16', 'N650', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.92196655273438 logZ --- 0.9201351404190063
observation --- [302, 178, 657, 867] info --- {'sequence': ['N146', 'N444', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.6243133544922 logZ --- 0.9201351404190063
observation --- [701, 178, 295, 867] info --- {'sequence': ['N101', 'N444', 'N679', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.28946685791016 logZ --- 0.9151479601860046
observation --- [0, 143, 540, 867] info --- {'sequence': ['N274', 'N650', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.08114624023438 logZ --- 0.9151479601860046
observation --- [855, 178, 2, 867] info --- {'sequence': ['N659', 'N444', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.87010955810547 logZ --- 0.9151479601860046
observation --- [155, 143, 316, 867] info --- {'sequence': ['N167', 'N650', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.01133728027344 logZ --- 0.9151479601860046
observation --- [192, 178, 540, 867] info --- {'sequence': ['N668', 'N444', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.059326171875 logZ --- 0.9151479601860046
observation --- [177, 143, 294, 867] info --- {'sequence': ['N85', 'N650', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.81321716308594 logZ --- 0.9101564884185791
observation --- [349, 178, 540, 867] info --- {'sequence': ['N144', 'N444', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.72618865966797 logZ --- 0.9101564884185791
observation --- [8, 143, 2, 867] info --- {'sequence': ['N392', 'N650', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.76617431640625 logZ --- 0.9101564884185791
observation --- [545, 143, 512, 867] info --- {'sequence': ['N155', 'N650', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.89964294433594 logZ --- 0.9101564884185791
observation --- [351, 143, 489, 867] info --- {'sequence': ['N529', 'N650', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.30990600585938 logZ --- 0.9101564884185791
observation --- [790, 143, 795, 867] info --- {'sequence': ['N108', 'N650', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.03831481933594 logZ --- 0.9051603078842163
observation --- [62, 143, 485, 867] info --- {'sequence': ['N489', 'N650', 'N79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.78638458251953 logZ --- 0.9051603078842163
observation --- [571, 143, 334, 867] info --- {'sequence': ['N290', 'N650', 'N163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 114.38238525390625 logZ --- 0.9051603078842163
observation --- [36, 178, 2, 867] info --- {'sequence': ['N151', 'N444', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.8695068359375 logZ --- 0.9051603078842163
observation --- [304, 143, 67, 867] info --- {'sequence': ['N205', 'N650', 'N157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 114.38838195800781 logZ --- 0.9051603078842163
observation --- [416, 143, 586, 867] info --- {'sequence': ['N552', 'N650', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.80513000488281 logZ --- 0.9001651406288147
observation --- [237, 178, 853, 867] info --- {'sequence': ['N65', 'N444', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.56291961669922 logZ --- 0.9001651406288147
observation --- [396, 178, 586, 867] info --- {'sequence': ['N678', 'N444', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.77645874023438 logZ --- 0.9001651406288147
observation --- [572, 143, 89, 867] info --- {'sequence': ['N465', 'N650', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 111.17745971679688 logZ --- 0.9001651406288147
observation --- [425, 178, 626, 867] info --- {'sequence': ['N548', 'N444', 'N216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.04359436035156 logZ --- 0.9001651406288147
observation --- [274, 143, 686, 867] info --- {'sequence': ['N77', 'N650', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.87418365478516 logZ --- 0.895172655582428
observation --- [95, 143, 438, 867] info --- {'sequence': ['N483', 'N650', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 112.2237777709961 logZ --- 0.895172655582428
observation --- [279, 143, 77, 867] info --- {'sequence': ['N213', 'N650', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 112.77763366699219 logZ --- 0.895172655582428
observation --- [463, 143, 444, 867] info --- {'sequence': ['N295', 'N650', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.0506591796875 logZ --- 0.895172655582428
observation --- [259, 178, 512, 867] info --- {'sequence': ['N577', 'N444', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.86761474609375 logZ --- 0.895172655582428
observation --- [111, 143, 249, 867] info --- {'sequence': ['N221', 'N650', 'N321', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 111.04695129394531 logZ --- 0.8901821374893188
observation --- [351, 178, 89, 867] info --- {'sequence': ['N529', 'N444', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 115.97569274902344 logZ --- 0.8901821374893188
observation --- [655, 178, 602, 867] info --- {'sequence': ['N690', 'N444', 'N19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.40931701660156 logZ --- 0.8901821374893188
observation --- [511, 143, 77, 867] info --- {'sequence': ['N314', 'N650', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 113.50830841064453 logZ --- 0.8901821374893188
observation --- [840, 143, 575, 867] info --- {'sequence': ['N214', 'N650', 'N571', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 116.7193832397461 logZ --- 0.8901821374893188
observation --- [838, 143, 458, 867] info --- {'sequence': ['N643', 'N650', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.28053283691406 logZ --- 0.8851996064186096
observation --- [396, 143, 556, 867] info --- {'sequence': ['N678', 'N650', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 117.80644226074219 logZ --- 0.8851996064186096
observation --- [829, 143, 424, 867] info --- {'sequence': ['N116', 'N650', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 113.96295928955078 logZ --- 0.8851996064186096
observation --- [95, 178, 214, 867] info --- {'sequence': ['N483', 'N444', 'N592', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.3428192138672 logZ --- 0.8851996064186096
observation --- [203, 143, 415, 867] info --- {'sequence': ['N139', 'N650', 'N386', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.14936065673828 logZ --- 0.8851996064186096
observation --- [451, 143, 191, 867] info --- {'sequence': ['N36', 'N650', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 115.29931640625 logZ --- 0.8802174925804138
observation --- [427, 178, 575, 867] info --- {'sequence': ['N182', 'N444', 'N571', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.2300796508789 logZ --- 0.8802174925804138
observation --- [536, 178, 200, 867] info --- {'sequence': ['N336', 'N444', 'N621', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.15332794189453 logZ --- 0.8802174925804138
observation --- [177, 178, 704, 867] info --- {'sequence': ['N85', 'N444', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.85931396484375 logZ --- 0.8802174925804138
observation --- [300, 178, 444, 867] info --- {'sequence': ['N593', 'N444', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.57198333740234 logZ --- 0.8802174925804138
