observation --- [375, 289, 297, 867] info --- {'sequence': ['N288', 'N580', 'N713', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.77845001220703 logZ --- 0.9786778688430786
observation --- [41, 146, 444, 867] info --- {'sequence': ['N551', 'N503', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.45906066894531 logZ --- 0.9786778688430786
observation --- [326, 144, 861, 867] info --- {'sequence': ['N710', 'N257', 'N558', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.6154670715332 logZ --- 0.9749860167503357
observation --- [332, 114, 294, 867] info --- {'sequence': ['N399', 'N355', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.79185485839844 logZ --- 0.9749860167503357
observation --- [101, 81, 853, 867] info --- {'sequence': ['N303', 'N276', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.49834442138672 logZ --- 0.9749860167503357
observation --- [729, 290, 482, 867] info --- {'sequence': ['N12', 'N512', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.18560028076172 logZ --- 0.9749860167503357
observation --- [525, 146, 591, 867] info --- {'sequence': ['N525', 'N503', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.38670349121094 logZ --- 0.9749860167503357
observation --- [361, 248, 591, 867] info --- {'sequence': ['N424', 'N174', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.439456939697266 logZ --- 0.9709370136260986
observation --- [754, 760, 67, 867] info --- {'sequence': ['N194', 'N513', 'N157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1051827434677368 loss --- 155.45294189453125 logZ --- 0.9709370136260986
observation --- [307, 852, 321, 867] info --- {'sequence': ['N688', 'N210', 'N231', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.925254821777344 logZ --- 0.9709370136260986
observation --- [665, 818, 67, 867] info --- {'sequence': ['N342', 'N335', 'N157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1716582687717003 loss --- 145.19761657714844 logZ --- 0.9709370136260986
observation --- [231, 390, 482, 867] info --- {'sequence': ['N211', 'N330', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.27754592895508 logZ --- 0.9709370136260986
observation --- [767, 314, 136, 867] info --- {'sequence': ['N259', 'N365', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.347225189208984 logZ --- 0.9674304127693176
observation --- [705, 848, 77, 867] info --- {'sequence': ['N539', 'N581', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.65158462524414 logZ --- 0.9674304127693176
observation --- [566, 361, 147, 867] info --- {'sequence': ['N17', 'N424', 'N535', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.6067520657031285 loss --- 184.04920959472656 logZ --- 0.9674304127693176
observation --- [324, 665, 512, 867] info --- {'sequence': ['N42', 'N342', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0825804908195058 loss --- 164.23460388183594 logZ --- 0.9674304127693176
observation --- [324, 525, 843, 867] info --- {'sequence': ['N42', 'N525', 'N320', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.047794342041016 logZ --- 0.9674304127693176
observation --- [139, 642, 854, 867] info --- {'sequence': ['N44', 'N27', 'N60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.62592697143555 logZ --- 0.9644339680671692
observation --- [82, 760, 597, 867] info --- {'sequence': ['N718', 'N513', 'N440', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.522403717041016 logZ --- 0.9644339680671692
observation --- [493, 230, 591, 867] info --- {'sequence': ['N557', 'N654', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 69.75265502929688 logZ --- 0.9644339680671692
observation --- [501, 736, 681, 867] info --- {'sequence': ['N91', 'N631', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.77891159057617 logZ --- 0.9644339680671692
observation --- [139, 478, 294, 867] info --- {'sequence': ['N44', 'N4', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.16871643066406 logZ --- 0.9644339680671692
observation --- [139, 146, 458, 867] info --- {'sequence': ['N44', 'N503', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.024394126593775 loss --- 152.00286865234375 logZ --- 0.9609635472297668
observation --- [760, 856, 154, 867] info --- {'sequence': ['N513', 'N603', 'N488', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.732295989990234 logZ --- 0.9609635472297668
observation --- [642, 97, 438, 867] info --- {'sequence': ['N27', 'N112', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.262149810791016 logZ --- 0.9609635472297668
observation --- [690, 559, 597, 867] info --- {'sequence': ['N62', 'N129', 'N440', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.98911666870117 logZ --- 0.9609635472297668
observation --- [261, 171, 59, 867] info --- {'sequence': ['N618', 'N100', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.36983871459961 logZ --- 0.9609635472297668
observation --- [376, 767, 55, 867] info --- {'sequence': ['N201', 'N259', 'N81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 69.29061889648438 logZ --- 0.9574371576309204
observation --- [361, 46, 826, 867] info --- {'sequence': ['N424', 'N470', 'N606', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.496280670166016 logZ --- 0.9574371576309204
observation --- [41, 690, 778, 867] info --- {'sequence': ['N551', 'N62', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.04828643798828 logZ --- 0.9574371576309204
observation --- [144, 231, 249, 867] info --- {'sequence': ['N257', 'N211', 'N321', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.50033569335938 logZ --- 0.9574371576309204
observation --- [757, 31, 419, 867] info --- {'sequence': ['N464', 'N616', 'N225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.25065994262695 logZ --- 0.9574371576309204
observation --- [373, 509, 681, 867] info --- {'sequence': ['N538', 'N202', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.8071403503418 logZ --- 0.9535719752311707
observation --- [757, 228, 489, 867] info --- {'sequence': ['N464', 'N200', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1327063930314334 loss --- 151.02743530273438 logZ --- 0.9535719752311707
observation --- [479, 559, 769, 867] info --- {'sequence': ['N624', 'N129', 'N51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.561893463134766 logZ --- 0.9535719752311707
observation --- [234, 15, 422, 867] info --- {'sequence': ['N153', 'N207', 'N579', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.66560363769531 logZ --- 0.9535719752311707
observation --- [535, 289, 585, 867] info --- {'sequence': ['N136', 'N580', 'N20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.246238708496094 logZ --- 0.9535719752311707
observation --- [324, 407, 334, 867] info --- {'sequence': ['N42', 'N255', 'N163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0842663879646113 loss --- 150.83619689941406 logZ --- 0.9496986865997314
observation --- [141, 455, 357, 867] info --- {'sequence': ['N13', 'N564', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.97956848144531 logZ --- 0.9496986865997314
observation --- [234, 760, 438, 867] info --- {'sequence': ['N153', 'N513', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.60163879394531 logZ --- 0.9496986865997314
observation --- [101, 306, 438, 867] info --- {'sequence': ['N303', 'N614', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.9860610961914 logZ --- 0.9496986865997314
observation --- [30, 137, 556, 867] info --- {'sequence': ['N29', 'N387', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.37922668457031 logZ --- 0.9496986865997314
observation --- [705, 123, 65, 867] info --- {'sequence': ['N539', 'N90', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.61162567138672 logZ --- 0.9458135366439819
