observation --- [444, 50, 695, 867] info --- {'sequence': ['N10', 'N435', 'N196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.01951217651367 logZ --- 0.9906809329986572
observation --- [635, 288, 769, 867] info --- {'sequence': ['N641', 'N700', 'N51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.26239013671875 logZ --- 0.9906809329986572
observation --- [681, 28, 686, 867] info --- {'sequence': ['N353', 'N39', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1346032939534667 loss --- 140.70535278320312 logZ --- 0.9906809329986572
observation --- [55, 129, 740, 867] info --- {'sequence': ['N81', 'N52', 'N150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.34992599487305 logZ --- 0.9934526085853577
observation --- [737, 454, 512, 867] info --- {'sequence': ['N333', 'N520', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0659803467093463 loss --- 136.3599853515625 logZ --- 0.9934526085853577
observation --- [67, 44, 657, 867] info --- {'sequence': ['N157', 'N719', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1164177722672919 loss --- 143.55877685546875 logZ --- 0.9934526085853577
observation --- [219, 761, 575, 867] info --- {'sequence': ['N611', 'N327', 'N571', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.13739776611328 logZ --- 0.9934526085853577
observation --- [570, 433, 444, 867] info --- {'sequence': ['N516', 'N649', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.78192901611328 logZ --- 0.9934526085853577
observation --- [556, 710, 191, 867] info --- {'sequence': ['N717', 'N404', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.939273834228516 logZ --- 0.9958394765853882
observation --- [266, 617, 704, 867] info --- {'sequence': ['N25', 'N346', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.54935455322266 logZ --- 0.9958394765853882
