observation --- [222, 574, 734, 697, 867] info --- {'sequence': ['N385', 'N127', 'N448', 'N623', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.22544527053833 logZ --- 0.9750919342041016
observation --- [263, 230, 144, 644, 867] info --- {'sequence': ['N76', 'N654', 'N257', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.844090461730957 logZ --- 0.9750919342041016
observation --- [222, 228, 308, 729, 867] info --- {'sequence': ['N385', 'N200', 'N193', 'N12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.956256866455078 logZ --- 0.9750919342041016
observation --- [57, 324, 324, 97, 867] info --- {'sequence': ['N34', 'N42', 'N42', 'N112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.505675315856934 logZ --- 0.9750919342041016
observation --- [244, 661, 711, 644, 867] info --- {'sequence': ['N601', 'N597', 'N522', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.033729553222656 logZ --- 0.9700943827629089
observation --- [386, 501, 114, 852, 867] info --- {'sequence': ['N514', 'N91', 'N355', 'N210', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.333441734313965 logZ --- 0.9700943827629089
observation --- [710, 665, 576, 455, 867] info --- {'sequence': ['N404', 'N342', 'N455', 'N564', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.789795875549316 logZ --- 0.9700943827629089
observation --- [395, 390, 856, 515, 867] info --- {'sequence': ['N708', 'N330', 'N603', 'N71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.22205638885498 logZ --- 0.9700943827629089
observation --- [706, 105, 128, 729, 867] info --- {'sequence': ['N50', 'N417', 'N317', 'N12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.766519546508789 logZ --- 0.9700943827629089
observation --- [85, 97, 30, 525, 867] info --- {'sequence': ['N218', 'N112', 'N29', 'N525', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.659586906433105 logZ --- 0.965095579624176
observation --- [598, 231, 593, 101, 867] info --- {'sequence': ['N312', 'N211', 'N301', 'N303', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.761594772338867 logZ --- 0.965095579624176
observation --- [57, 493, 835, 478, 867] info --- {'sequence': ['N34', 'N557', 'N689', 'N4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.483769416809082 logZ --- 0.965095579624176
observation --- [406, 375, 211, 478, 867] info --- {'sequence': ['N367', 'N288', 'N500', 'N4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0467852889079086 loss --- 270.8346862792969 logZ --- 0.965095579624176
observation --- [317, 247, 661, 576, 867] info --- {'sequence': ['N2', 'N524', 'N597', 'N455', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.326760292053223 logZ --- 0.965095579624176
observation --- [674, 230, 690, 326, 867] info --- {'sequence': ['N32', 'N654', 'N62', 'N710', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.867352485656738 logZ --- 0.9609017372131348
observation --- [226, 41, 239, 211, 867] info --- {'sequence': ['N267', 'N551', 'N420', 'N500', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.190777778625488 logZ --- 0.9609017372131348
observation --- [841, 493, 375, 509, 867] info --- {'sequence': ['N73', 'N557', 'N288', 'N202', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.62101936340332 logZ --- 0.9609017372131348
observation --- [44, 789, 478, 407, 867] info --- {'sequence': ['N719', 'N549', 'N4', 'N255', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.880283355712891 logZ --- 0.9609017372131348
observation --- [454, 361, 139, 848, 867] info --- {'sequence': ['N520', 'N424', 'N44', 'N581', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.138171195983887 logZ --- 0.9609017372131348
