observation --- [449, 439, 566, 289, 748, 14, 29, 868] info --- {'sequence': ['N562', 'N46', 'N17', 'N580', 'E22', 'E171', 'E180', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 148.42080688476562 logZ --- 1.0197519063949585
observation --- [179, 326, 139, 390, 649, 738, 568, 868] info --- {'sequence': ['N161', 'N710', 'N44', 'N330', 'E101', 'E11', 'E154', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1420160874079266 loss --- 1111.8084716796875 logZ --- 1.0197519063949585
observation --- [706, 137, 30, 705, 662, 633, 755, 868] info --- {'sequence': ['N50', 'N387', 'N29', 'N539', 'E13', 'E198', 'E79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 176.2548370361328 logZ --- 1.0197519063949585
observation --- [645, 101, 767, 705, 487, 112, 6, 868] info --- {'sequence': ['N115', 'N303', 'N259', 'N539', 'E181', 'E37', 'E23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0902488854530474 loss --- 1031.57080078125 logZ --- 1.0197519063949585
observation --- [372, 375, 478, 385, 721, 510, 14, 868] info --- {'sequence': ['N607', 'N288', 'N4', 'N454', 'E217', 'E190', 'E171', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 150.3242950439453 logZ --- 1.02470064163208
observation --- [54, 848, 439, 233, 612, 721, 292, 868] info --- {'sequence': ['N93', 'N581', 'N46', 'N43', 'E157', 'E217', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1135158680075474 loss --- 1123.8756103515625 logZ --- 1.02470064163208
observation --- [706, 789, 146, 525, 460, 639, 305, 868] info --- {'sequence': ['N50', 'N549', 'N503', 'N525', 'E192', 'E6', 'E7', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3359334219460657 loss --- 1122.4324951171875 logZ --- 1.02470064163208
observation --- [714, 390, 141, 381, 663, 719, 606, 868] info --- {'sequence': ['N697', 'N330', 'N13', 'N1', 'E133', 'E49', 'E110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.04939444630606 loss --- 1110.83056640625 logZ --- 1.02470064163208
observation --- [464, 525, 49, 509, 227, 166, 494, 868] info --- {'sequence': ['N662', 'N525', 'N498', 'N202', 'E175', 'E14', 'E165', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2335425355295693 loss --- 1113.3299560546875 logZ --- 1.02470064163208
observation --- [464, 239, 711, 186, 465, 5, 811, 868] info --- {'sequence': ['N662', 'N420', 'N522', 'N561', 'E45', 'E56', 'E90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1340868514001448 loss --- 1057.599609375 logZ --- 1.0296999216079712
observation --- [370, 151, 361, 439, 465, 725, 774, 868] info --- {'sequence': ['N256', 'N575', 'N424', 'N46', 'E45', 'E179', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1791413108560358 loss --- 1085.899658203125 logZ --- 1.0296999216079712
observation --- [710, 390, 150, 509, 837, 293, 779, 868] info --- {'sequence': ['N404', 'N330', 'N302', 'N202', 'E139', 'E9', 'E51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 164.14666748046875 logZ --- 1.0296999216079712
observation --- [659, 574, 576, 665, 618, 142, 589, 868] info --- {'sequence': ['N313', 'N127', 'N455', 'N342', 'E118', 'E210', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2048907753846585 loss --- 1056.911376953125 logZ --- 1.0296999216079712
observation --- [807, 306, 665, 661, 721, 161, 63, 868] info --- {'sequence': ['N99', 'N614', 'N342', 'N597', 'E217', 'E85', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.221770964426979 loss --- 1111.240478515625 logZ --- 1.0296999216079712
observation --- [523, 145, 81, 478, 227, 680, 79, 868] info --- {'sequence': ['N188', 'N263', 'N276', 'N4', 'E175', 'E104', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.114123189228675 loss --- 1036.27490234375 logZ --- 1.034735918045044
observation --- [34, 407, 186, 665, 716, 612, 758, 868] info --- {'sequence': ['N57', 'N255', 'N561', 'N342', 'E196', 'E157', 'E80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3990148991092464 loss --- 1126.1033935546875 logZ --- 1.034735918045044
observation --- [433, 114, 144, 754, 709, 783, 781, 868] info --- {'sequence': ['N649', 'N355', 'N257', 'N194', 'E1', 'E146', 'E138', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 174.23428344726562 logZ --- 1.034735918045044
observation --- [699, 30, 734, 711, 366, 671, 262, 868] info --- {'sequence': ['N219', 'N29', 'N448', 'N522', 'E170', 'E97', 'E228', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0343257239797876 loss --- 1086.904296875 logZ --- 1.034735918045044
observation --- [558, 186, 375, 31, 583, 474, 667, 868] info --- {'sequence': ['N3', 'N561', 'N288', 'N616', 'E103', 'E70', 'E134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 188.73912048339844 logZ --- 1.034735918045044
observation --- [666, 381, 478, 712, 420, 534, 12, 868] info --- {'sequence': ['N466', 'N1', 'N4', 'N665', 'E12', 'E126', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4515061874531339 loss --- 1131.8001708984375 logZ --- 1.0397708415985107
observation --- [810, 145, 101, 376, 400, 124, 862, 868] info --- {'sequence': ['N109', 'N263', 'N303', 'N201', 'E63', 'E135', 'E18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 158.33323669433594 logZ --- 1.0397708415985107
observation --- [50, 576, 308, 49, 467, 225, 166, 868] info --- {'sequence': ['N435', 'N455', 'N193', 'N498', 'E10', 'E78', 'E14', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4995847607774455 loss --- 1121.51806640625 logZ --- 1.0397708415985107
observation --- [113, 818, 830, 228, 243, 194, 649, 868] info --- {'sequence': ['N515', 'N335', 'N282', 'N200', 'E15', 'E36', 'E101', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4689874936403884 loss --- 1147.3411865234375 logZ --- 1.0397708415985107
observation --- [263, 164, 375, 697, 693, 649, 312, 868] info --- {'sequence': ['N76', 'N292', 'N288', 'N623', 'E95', 'E101', 'E153', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0938817485720054 loss --- 1137.364990234375 logZ --- 1.0397708415985107
observation --- [666, 818, 580, 767, 751, 457, 12, 868] info --- {'sequence': ['N466', 'N335', 'N223', 'N259', 'E50', 'E130', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1854461610119025 loss --- 1066.7886962890625 logZ --- 1.04483962059021
observation --- [134, 856, 559, 238, 751, 550, 245, 868] info --- {'sequence': ['N693', 'N603', 'N129', 'N468', 'E50', 'E108', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2333568138910813 loss --- 1110.5660400390625 logZ --- 1.04483962059021
observation --- [28, 574, 307, 385, 673, 534, 592, 868] info --- {'sequence': ['N39', 'N127', 'N688', 'N454', 'E16', 'E126', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.202095707351317 loss --- 1078.94970703125 logZ --- 1.04483962059021
observation --- [54, 574, 712, 336, 42, 781, 842, 868] info --- {'sequence': ['N93', 'N127', 'N665', 'N360', 'E160', 'E138', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0901645331866985 loss --- 1076.205322265625 logZ --- 1.04483962059021
observation --- [387, 146, 754, 767, 836, 408, 79, 868] info --- {'sequence': ['N113', 'N503', 'N194', 'N259', 'E128', 'E152', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2580386942664954 loss --- 998.908447265625 logZ --- 1.04483962059021
