observation --- [767, 675, 251, 867] info --- {'sequence': ['N259', 'N642', 'N304', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.424407958984375 logZ --- 0.9749918580055237
observation --- [314, 445, 588, 867] info --- {'sequence': ['N365', 'N350', 'N271', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.722782135009766 logZ --- 0.9749918580055237
observation --- [856, 160, 810, 867] info --- {'sequence': ['N603', 'N427', 'N109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.43311309814453 logZ --- 0.9699868559837341
observation --- [81, 411, 129, 867] info --- {'sequence': ['N276', 'N175', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.57666778564453 logZ --- 0.9699868559837341
observation --- [361, 722, 523, 867] info --- {'sequence': ['N424', 'N430', 'N188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.807613372802734 logZ --- 0.9699868559837341
observation --- [711, 209, 810, 867] info --- {'sequence': ['N522', 'N588', 'N109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.89098358154297 logZ --- 0.9699868559837341
observation --- [145, 320, 57, 867] info --- {'sequence': ['N263', 'N636', 'N34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.92168045043945 logZ --- 0.9699868559837341
observation --- [151, 587, 562, 867] info --- {'sequence': ['N575', 'N715', 'N68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.39605712890625 logZ --- 0.9649860858917236
observation --- [852, 257, 766, 867] info --- {'sequence': ['N210', 'N348', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.209686279296875 logZ --- 0.9649860858917236
observation --- [228, 801, 834, 867] info --- {'sequence': ['N200', 'N337', 'N371', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.651981353759766 logZ --- 0.9649860858917236
observation --- [137, 800, 317, 867] info --- {'sequence': ['N387', 'N169', 'N2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.328338623046875 logZ --- 0.9649860858917236
observation --- [41, 258, 830, 867] info --- {'sequence': ['N551', 'N363', 'N282', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.80713653564453 logZ --- 0.9649860858917236
observation --- [760, 48, 588, 867] info --- {'sequence': ['N513', 'N281', 'N271', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.50503540039062 logZ --- 0.9599885940551758
observation --- [234, 132, 34, 867] info --- {'sequence': ['N153', 'N664', 'N57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.10401916503906 logZ --- 0.9599885940551758
observation --- [211, 514, 129, 867] info --- {'sequence': ['N500', 'N35', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.686405181884766 logZ --- 0.9599885940551758
observation --- [732, 94, 263, 867] info --- {'sequence': ['N390', 'N462', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.0806884765625 logZ --- 0.9599885940551758
observation --- [361, 603, 386, 867] info --- {'sequence': ['N424', 'N224', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.63519287109375 logZ --- 0.9599885940551758
observation --- [479, 322, 54, 867] info --- {'sequence': ['N624', 'N141', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.943458557128906 logZ --- 0.9549809694290161
observation --- [150, 94, 370, 867] info --- {'sequence': ['N302', 'N462', 'N256', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.63230514526367 logZ --- 0.9549809694290161
observation --- [509, 271, 90, 867] info --- {'sequence': ['N202', 'N261', 'N450', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.406227111816406 logZ --- 0.9549809694290161
observation --- [228, 538, 102, 867] info --- {'sequence': ['N200', 'N578', 'N395', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.684165954589844 logZ --- 0.9549809694290161
observation --- [202, 594, 617, 867] info --- {'sequence': ['N376', 'N84', 'N346', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.58030319213867 logZ --- 0.9549809694290161
observation --- [601, 190, 433, 867] info --- {'sequence': ['N128', 'N78', 'N649', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.02192306518555 logZ --- 0.9499757885932922
observation --- [202, 684, 387, 867] info --- {'sequence': ['N376', 'N655', 'N113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.250732421875 logZ --- 0.9499757885932922
observation --- [835, 514, 85, 867] info --- {'sequence': ['N689', 'N35', 'N218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.843017578125 logZ --- 0.9499757885932922
observation --- [381, 800, 645, 867] info --- {'sequence': ['N1', 'N169', 'N115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.55791473388672 logZ --- 0.9499757885932922
observation --- [661, 133, 706, 867] info --- {'sequence': ['N597', 'N217', 'N50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.61431121826172 logZ --- 0.9499757885932922
observation --- [373, 45, 659, 867] info --- {'sequence': ['N538', 'N352', 'N313', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.96955490112305 logZ --- 0.9449697136878967
observation --- [852, 327, 490, 867] info --- {'sequence': ['N210', 'N38', 'N158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.62443923950195 logZ --- 0.9449697136878967
observation --- [835, 728, 9, 867] info --- {'sequence': ['N689', 'N326', 'N238', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.143341064453125 logZ --- 0.9449697136878967
observation --- [228, 801, 569, 867] info --- {'sequence': ['N200', 'N337', 'N434', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.860477447509766 logZ --- 0.9449697136878967
observation --- [734, 625, 91, 867] info --- {'sequence': ['N448', 'N178', 'N307', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.55487823486328 logZ --- 0.9449697136878967
observation --- [308, 450, 265, 867] info --- {'sequence': ['N193', 'N635', 'N398', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.827354431152344 logZ --- 0.9399626851081848
observation --- [390, 800, 756, 867] info --- {'sequence': ['N330', 'N169', 'N627', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.864131927490234 logZ --- 0.9399626851081848
observation --- [41, 587, 288, 867] info --- {'sequence': ['N551', 'N715', 'N700', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.8772201538086 logZ --- 0.9399626851081848
observation --- [141, 399, 464, 867] info --- {'sequence': ['N13', 'N625', 'N662', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.555702209472656 logZ --- 0.9399626851081848
observation --- [171, 728, 714, 867] info --- {'sequence': ['N100', 'N326', 'N697', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.230648040771484 logZ --- 0.9399626851081848
observation --- [46, 48, 265, 867] info --- {'sequence': ['N470', 'N281', 'N398', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.12335205078125 logZ --- 0.9349538087844849
