observation --- [848, 766, 233, 867] info --- {'sequence': ['N581', 'N310', 'N43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.40949630737305 logZ --- 0.9764602780342102
observation --- [114, 91, 123, 867] info --- {'sequence': ['N355', 'N307', 'N90', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.56911849975586 logZ --- 0.9764602780342102
observation --- [49, 598, 732, 867] info --- {'sequence': ['N498', 'N312', 'N390', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.50089645385742 logZ --- 0.9715754985809326
observation --- [711, 265, 574, 867] info --- {'sequence': ['N522', 'N398', 'N127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.669281005859375 logZ --- 0.9715754985809326
observation --- [186, 386, 848, 867] info --- {'sequence': ['N561', 'N514', 'N581', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.69422912597656 logZ --- 0.9715754985809326
observation --- [101, 428, 527, 867] info --- {'sequence': ['N303', 'N492', 'N471', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.02552795410156 logZ --- 0.9715754985809326
observation --- [30, 365, 566, 867] info --- {'sequence': ['N29', 'N184', 'N17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.89616394042969 logZ --- 0.9715754985809326
observation --- [525, 57, 15, 867] info --- {'sequence': ['N525', 'N34', 'N207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.583003997802734 logZ --- 0.9666381478309631
observation --- [314, 569, 128, 867] info --- {'sequence': ['N365', 'N434', 'N317', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.440650939941406 logZ --- 0.9666381478309631
observation --- [690, 386, 137, 867] info --- {'sequence': ['N62', 'N514', 'N387', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.38475799560547 logZ --- 0.9666381478309631
observation --- [146, 766, 342, 867] info --- {'sequence': ['N503', 'N310', 'N437', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.824459075927734 logZ --- 0.9666381478309631
