observation --- [89, 323, 839, 867] info --- {'sequence': ['N473', 'N89', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 102.14311218261719 logZ --- 0.9753392338752747
observation --- [429, 710, 839, 867] info --- {'sequence': ['N63', 'N404', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.20655059814453 logZ --- 0.9753392338752747
observation --- [169, 761, 844, 867] info --- {'sequence': ['N279', 'N327', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 96.45503997802734 logZ --- 0.9703725576400757
observation --- [695, 569, 551, 867] info --- {'sequence': ['N196', 'N434', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 101.95072174072266 logZ --- 0.9703725576400757
observation --- [812, 265, 138, 867] info --- {'sequence': ['N415', 'N398', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 92.73971557617188 logZ --- 0.9703725576400757
observation --- [795, 766, 138, 867] info --- {'sequence': ['N408', 'N310', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 92.45960998535156 logZ --- 0.9703725576400757
observation --- [481, 113, 554, 867] info --- {'sequence': ['N246', 'N515', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 98.42545318603516 logZ --- 0.9703725576400757
observation --- [89, 34, 668, 867] info --- {'sequence': ['N473', 'N57', 'N651', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.14588928222656 logZ --- 0.9653752446174622
observation --- [481, 428, 839, 867] info --- {'sequence': ['N246', 'N492', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.85769653320312 logZ --- 0.9653752446174622
observation --- [65, 34, 658, 867] info --- {'sequence': ['N186', 'N57', 'N671', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.34635162353516 logZ --- 0.9653752446174622
observation --- [635, 28, 410, 867] info --- {'sequence': ['N641', 'N39', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 102.86761474609375 logZ --- 0.9653752446174622
observation --- [214, 272, 676, 867] info --- {'sequence': ['N592', 'N393', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.36260986328125 logZ --- 0.9653752446174622
observation --- [415, 323, 676, 867] info --- {'sequence': ['N386', 'N89', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0145271628521482 loss --- 94.88197326660156 logZ --- 0.9603520631790161
observation --- [737, 454, 676, 867] info --- {'sequence': ['N333', 'N520', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 96.34281158447266 logZ --- 0.9603520631790161
observation --- [21, 552, 844, 867] info --- {'sequence': ['N411', 'N305', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 101.98311614990234 logZ --- 0.9603520631790161
observation --- [704, 28, 410, 867] info --- {'sequence': ['N485', 'N39', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 104.22557830810547 logZ --- 0.9603520631790161
observation --- [249, 562, 844, 867] info --- {'sequence': ['N321', 'N68', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 99.28748321533203 logZ --- 0.9603520631790161
observation --- [740, 226, 530, 867] info --- {'sequence': ['N150', 'N267', 'N254', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.24542236328125 logZ --- 0.955449640750885
observation --- [843, 756, 554, 867] info --- {'sequence': ['N320', 'N627', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 93.47264099121094 logZ --- 0.955449640750885
observation --- [792, 387, 199, 867] info --- {'sequence': ['N277', 'N113', 'N482', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.33456420898438 logZ --- 0.955449640750885
observation --- [295, 659, 410, 867] info --- {'sequence': ['N679', 'N313', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 106.72714233398438 logZ --- 0.955449640750885
observation --- [695, 9, 844, 867] info --- {'sequence': ['N196', 'N238', 'N300', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.06592559814453 logZ --- 0.955449640750885
observation --- [295, 617, 206, 867] info --- {'sequence': ['N679', 'N346', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.20201110839844 logZ --- 0.9505024552345276
observation --- [65, 44, 410, 867] info --- {'sequence': ['N186', 'N719', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.40805053710938 logZ --- 0.9505024552345276
observation --- [297, 85, 199, 867] info --- {'sequence': ['N713', 'N218', 'N482', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 104.07563781738281 logZ --- 0.9505024552345276
observation --- [147, 718, 676, 867] info --- {'sequence': ['N535', 'N388', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 104.88638305664062 logZ --- 0.9505024552345276
observation --- [147, 461, 138, 867] info --- {'sequence': ['N535', 'N359', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.5805892944336 logZ --- 0.9505024552345276
observation --- [2, 674, 410, 867] info --- {'sequence': ['N80', 'N32', 'N572', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 102.54478454589844 logZ --- 0.9455185532569885
observation --- [482, 449, 668, 867] info --- {'sequence': ['N499', 'N562', 'N651', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.6792221069336 logZ --- 0.9455185532569885
observation --- [219, 386, 138, 867] info --- {'sequence': ['N611', 'N514', 'N242', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.86225128173828 logZ --- 0.9455185532569885
observation --- [214, 449, 839, 867] info --- {'sequence': ['N592', 'N562', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 99.36827850341797 logZ --- 0.9455185532569885
observation --- [422, 272, 668, 867] info --- {'sequence': ['N579', 'N393', 'N651', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.54049682617188 logZ --- 0.9455185532569885
observation --- [295, 251, 658, 867] info --- {'sequence': ['N679', 'N304', 'N671', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.73692321777344 logZ --- 0.9405114054679871
observation --- [540, 288, 551, 867] info --- {'sequence': ['N695', 'N700', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.87952423095703 logZ --- 0.9405114054679871
observation --- [434, 159, 206, 867] info --- {'sequence': ['N377', 'N461', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.9919204711914 logZ --- 0.9405114054679871
observation --- [65, 244, 268, 867] info --- {'sequence': ['N186', 'N601', 'N391', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.58702850341797 logZ --- 0.9405114054679871
observation --- [812, 317, 658, 867] info --- {'sequence': ['N415', 'N2', 'N671', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 96.8323974609375 logZ --- 0.9405114054679871
observation --- [191, 718, 268, 867] info --- {'sequence': ['N474', 'N388', 'N391', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 93.2037353515625 logZ --- 0.9354904294013977
observation --- [429, 814, 676, 867] info --- {'sequence': ['N63', 'N190', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.3650894165039 logZ --- 0.9354904294013977
