observation --- [591, 438, 347, 518, 813, 868] info --- {'sequence': ['N137', 'N130', 'N447', 'E232', 'E203', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.241062271732946 loss --- 517.7186279296875 logZ --- 1.019444465637207
observation --- [686, 795, 526, 847, 354, 868] info --- {'sequence': ['N126', 'N408', 'N528', 'E221', 'E148', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2688549643511975 loss --- 510.4244384765625 logZ --- 1.0243479013442993
observation --- [826, 321, 532, 70, 631, 868] info --- {'sequence': ['N606', 'N231', 'N208', 'E92', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2000370516919816 loss --- 475.1532287597656 logZ --- 1.0243479013442993
observation --- [59, 89, 284, 484, 758, 868] info --- {'sequence': ['N23', 'N473', 'N92', 'E109', 'E80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.077774253459584 loss --- 453.10748291015625 logZ --- 1.0243479013442993
observation --- [512, 602, 786, 366, 391, 868] info --- {'sequence': ['N96', 'N19', 'N422', 'E170', 'E220', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2033358712268898 loss --- 491.41217041015625 logZ --- 1.0243479013442993
observation --- [458, 826, 669, 252, 784, 868] info --- {'sequence': ['N610', 'N606', 'N232', 'E233', 'E87', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.177573799877926 loss --- 491.3370666503906 logZ --- 1.0243479013442993
observation --- [191, 704, 708, 33, 319, 868] info --- {'sequence': ['N474', 'N485', 'N287', 'E162', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.885960102081299 logZ --- 1.0293134450912476
observation --- [843, 778, 347, 280, 431, 868] info --- {'sequence': ['N320', 'N687', 'N447', 'E72', 'E168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.1325573921203613 logZ --- 1.0293134450912476
observation --- [769, 295, 786, 643, 508, 868] info --- {'sequence': ['N51', 'N679', 'N422', 'E107', 'E155', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.499271869659424 logZ --- 1.0293134450912476
observation --- [704, 67, 62, 700, 170, 868] info --- {'sequence': ['N485', 'N157', 'N489', 'E60', 'E212', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0254795215443786 loss --- 513.23046875 logZ --- 1.0293134450912476
observation --- [585, 778, 341, 631, 534, 868] info --- {'sequence': ['N20', 'N687', 'N684', 'E187', 'E126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.347465202877431 loss --- 475.2185974121094 logZ --- 1.0293134450912476
observation --- [19, 147, 341, 584, 634, 868] info --- {'sequence': ['N639', 'N535', 'N684', 'E182', 'E172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4794384108483636 loss --- 522.2058715820312 logZ --- 1.0341371297836304
observation --- [39, 89, 125, 208, 118, 868] info --- {'sequence': ['N416', 'N473', 'N197', 'E158', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.224521069205338 loss --- 474.17926025390625 logZ --- 1.0341371297836304
observation --- [481, 585, 347, 243, 299, 868] info --- {'sequence': ['N246', 'N20', 'N447', 'E15', 'E225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2785052821638638 loss --- 480.2119140625 logZ --- 1.0341371297836304
observation --- [812, 266, 524, 472, 561, 868] info --- {'sequence': ['N415', 'N25', 'N134', 'E131', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0387668393068168 loss --- 452.75579833984375 logZ --- 1.0341371297836304
observation --- [686, 591, 526, 391, 225, 868] info --- {'sequence': ['N126', 'N137', 'N528', 'E220', 'E78', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0564665230406984 loss --- 480.33441162109375 logZ --- 1.0341371297836304
observation --- [154, 89, 310, 47, 836, 868] info --- {'sequence': ['N488', 'N473', 'N508', 'E8', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1821294394369766 loss --- 486.00885009765625 logZ --- 1.039055347442627
observation --- [481, 19, 377, 799, 842, 868] info --- {'sequence': ['N246', 'N639', 'N667', 'E166', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.482418537139893 logZ --- 1.039055347442627
observation --- [321, 570, 125, 402, 751, 868] info --- {'sequence': ['N231', 'N516', 'N197', 'E61', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1842673751162889 loss --- 485.1341247558594 logZ --- 1.039055347442627
observation --- [778, 415, 22, 472, 470, 868] info --- {'sequence': ['N687', 'N386', 'N433', 'E131', 'E205', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2925438327781595 loss --- 469.5561828613281 logZ --- 1.039055347442627
observation --- [215, 602, 264, 534, 750, 868] info --- {'sequence': ['N176', 'N19', 'N554', 'E126', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.296456753493084 loss --- 499.4066467285156 logZ --- 1.039055347442627
observation --- [602, 65, 524, 799, 646, 868] info --- {'sequence': ['N19', 'N186', 'N134', 'E166', 'E106', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3270169653389041 loss --- 486.6980285644531 logZ --- 1.0440083742141724
observation --- [219, 136, 688, 118, 842, 868] info --- {'sequence': ['N611', 'N519', 'N125', 'E224', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1441544917672493 loss --- 463.02142333984375 logZ --- 1.0440083742141724
observation --- [489, 704, 250, 70, 589, 868] info --- {'sequence': ['N429', 'N485', 'N9', 'E92', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.135314991728066 loss --- 504.5177917480469 logZ --- 1.0440083742141724
observation --- [422, 415, 743, 157, 161, 868] info --- {'sequence': ['N579', 'N386', 'N400', 'E5', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0925382870489595 loss --- 475.557861328125 logZ --- 1.0440083742141724
observation --- [854, 854, 417, 116, 632, 868] info --- {'sequence': ['N60', 'N60', 'N86', 'E163', 'E143', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.916800498962402 logZ --- 1.0440083742141724
observation --- [55, 419, 708, 639, 474, 868] info --- {'sequence': ['N81', 'N225', 'N287', 'E6', 'E70', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.032257080078125 logZ --- 1.0489896535873413
observation --- [575, 512, 377, 548, 189, 868] info --- {'sequence': ['N571', 'N96', 'N667', 'E226', 'E66', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.9934990406036377 logZ --- 1.0489896535873413
observation --- [219, 214, 417, 487, 79, 868] info --- {'sequence': ['N611', 'N592', 'N86', 'E181', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.255051036363284 loss --- 556.626220703125 logZ --- 1.0489896535873413
observation --- [795, 422, 526, 270, 331, 868] info --- {'sequence': ['N408', 'N579', 'N528', 'E213', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0777102845571085 loss --- 461.6270446777344 logZ --- 1.0489896535873413
observation --- [556, 21, 284, 774, 285, 868] info --- {'sequence': ['N717', 'N411', 'N92', 'E161', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0747666684918045 loss --- 495.371337890625 logZ --- 1.0489896535873413
observation --- [635, 21, 273, 612, 796, 868] info --- {'sequence': ['N641', 'N411', 'N270', 'E157', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2339210287353182 loss --- 542.7431640625 logZ --- 1.0539277791976929
observation --- [266, 792, 310, 833, 776, 868] info --- {'sequence': ['N25', 'N277', 'N508', 'E89', 'E105', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.9461889266967773 logZ --- 1.0539277791976929
observation --- [586, 602, 62, 408, 246, 868] info --- {'sequence': ['N682', 'N19', 'N489', 'E152', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.303523063659668 logZ --- 1.0539277791976929
observation --- [737, 84, 343, 819, 808, 868] info --- {'sequence': ['N333', 'N410', 'N421', 'E137', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.171463657585388 loss --- 475.59820556640625 logZ --- 1.0539277791976929
observation --- [191, 792, 660, 832, 42, 868] info --- {'sequence': ['N474', 'N277', 'N553', 'E149', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.523961067199707 logZ --- 1.0539277791976929
observation --- [489, 597, 660, 484, 260, 868] info --- {'sequence': ['N429', 'N440', 'N553', 'E109', 'E83', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0997329706317087 loss --- 496.0307312011719 logZ --- 1.0587375164031982
observation --- [297, 585, 532, 687, 751, 868] info --- {'sequence': ['N713', 'N20', 'N208', 'E120', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.105747187837127 loss --- 468.4508056640625 logZ --- 1.0587375164031982
observation --- [89, 356, 426, 126, 63, 868] info --- {'sequence': ['N473', 'N48', 'N504', 'E112', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2617132298578806 loss --- 495.59271240234375 logZ --- 1.0587375164031982
observation --- [482, 434, 532, 837, 484, 868] info --- {'sequence': ['N499', 'N377', 'N208', 'E139', 'E109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.6246745586395264 logZ --- 1.0587375164031982
observation --- [249, 438, 337, 784, 70, 868] info --- {'sequence': ['N321', 'N130', 'N589', 'E87', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.921113967895508 logZ --- 1.0587375164031982
observation --- [153, 295, 264, 673, 631, 868] info --- {'sequence': ['N117', 'N679', 'N554', 'E16', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3346439556096985 loss --- 471.4964294433594 logZ --- 1.0635305643081665
observation --- [444, 294, 149, 210, 639, 868] info --- {'sequence': ['N10', 'N315', 'N574', 'E17', 'E6', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3791292199933427 loss --- 498.3277282714844 logZ --- 1.0635305643081665
observation --- [334, 853, 526, 453, 604, 868] info --- {'sequence': ['N163', 'N298', 'N528', 'E27', 'E4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.172782946156361 loss --- 486.38299560546875 logZ --- 1.0635305643081665
observation --- [602, 84, 347, 414, 592, 868] info --- {'sequence': ['N19', 'N410', 'N447', 'E188', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.6249743586479488 loss --- 471.4541015625 logZ --- 1.0635305643081665
observation --- [64, 695, 347, 223, 354, 868] info --- {'sequence': ['N285', 'N196', 'N447', 'E84', 'E148', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2363203532240357 loss --- 503.64666748046875 logZ --- 1.0635305643081665
observation --- [681, 334, 62, 135, 443, 868] info --- {'sequence': ['N353', 'N163', 'N489', 'E194', 'E47', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2780325876136298 loss --- 501.4295349121094 logZ --- 1.0684380531311035
