observation --- [101, 375, 419, 286, 465, 868] info --- {'sequence': ['N303', 'N288', 'N225', 'E54', 'E45', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.563286781311035 logZ --- 1.0199977159500122
observation --- [566, 31, 321, 280, 600, 868] info --- {'sequence': ['N17', 'N616', 'N231', 'E72', 'E53', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0175979824119448 loss --- 526.2369995117188 logZ --- 1.0249961614608765
observation --- [332, 289, 591, 817, 5, 868] info --- {'sequence': ['N399', 'N580', 'N137', 'E88', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0040632618456318 loss --- 521.1702270507812 logZ --- 1.0249961614608765
observation --- [690, 479, 419, 414, 345, 868] info --- {'sequence': ['N62', 'N624', 'N225', 'E188', 'E58', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.320629119873047 logZ --- 1.0249961614608765
observation --- [230, 211, 444, 40, 796, 868] info --- {'sequence': ['N654', 'N500', 'N10', 'E123', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3814803427519025 loss --- 593.606201171875 logZ --- 1.0249961614608765
observation --- [852, 308, 704, 405, 73, 868] info --- {'sequence': ['N210', 'N193', 'N485', 'E119', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.139601707458496 logZ --- 1.0249961614608765
observation --- [361, 231, 249, 168, 700, 868] info --- {'sequence': ['N424', 'N211', 'N321', 'E159', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0112585438762483 loss --- 527.5567016601562 logZ --- 1.0299278497695923
observation --- [375, 82, 826, 443, 175, 868] info --- {'sequence': ['N288', 'N718', 'N606', 'E47', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2173108112470237 loss --- 560.8324584960938 logZ --- 1.0299278497695923
observation --- [176, 493, 55, 378, 477, 868] info --- {'sequence': ['N547', 'N557', 'N81', 'E29', 'E169', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.697548866271973 logZ --- 1.0299278497695923
observation --- [171, 501, 853, 847, 116, 868] info --- {'sequence': ['N100', 'N91', 'N298', 'E221', 'E163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1643943895339068 loss --- 520.373779296875 logZ --- 1.0299278497695923
observation --- [661, 729, 21, 460, 682, 868] info --- {'sequence': ['N597', 'N12', 'N411', 'E192', 'E209', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2613805117818206 loss --- 553.2216186523438 logZ --- 1.0299278497695923
observation --- [82, 697, 434, 331, 487, 868] info --- {'sequence': ['N718', 'N623', 'N377', 'E20', 'E181', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1602951313824494 loss --- 561.1492309570312 logZ --- 1.0348812341690063
