observation --- [86, 690, 706, 331, 738, 612, 868] info --- {'sequence': ['N147', 'N62', 'N50', 'E20', 'E11', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1344233106380652 loss --- 881.16015625 logZ --- 1.0196499824523926
observation --- [442, 159, 387, 748, 262, 366, 868] info --- {'sequence': ['N47', 'N461', 'N113', 'E22', 'E228', 'E170', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0657493641064029 loss --- 863.9893798828125 logZ --- 1.0196499824523926
observation --- [463, 172, 841, 564, 633, 612, 868] info --- {'sequence': ['N295', 'N409', 'N73', 'E204', 'E198', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 83.82221221923828 logZ --- 1.0245082378387451
observation --- [351, 386, 699, 847, 662, 126, 868] info --- {'sequence': ['N529', 'N514', 'N219', 'E221', 'E13', 'E112', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 102.47650146484375 logZ --- 1.0245082378387451
observation --- [533, 733, 761, 755, 453, 12, 868] info --- {'sequence': ['N6', 'N445', 'N327', 'E79', 'E27', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 85.21905517578125 logZ --- 1.0245082378387451
observation --- [730, 128, 272, 405, 842, 120, 868] info --- {'sequence': ['N486', 'N317', 'N393', 'E119', 'E68', 'E191', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 80.99317169189453 logZ --- 1.0245082378387451
observation --- [475, 82, 179, 246, 811, 285, 868] info --- {'sequence': ['N406', 'N718', 'N161', 'E185', 'E90', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 86.51319122314453 logZ --- 1.0245082378387451
observation --- [678, 729, 666, 453, 622, 11, 868] info --- {'sequence': ['N657', 'N12', 'N466', 'E27', 'E147', 'E25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.120054337774236 loss --- 916.377685546875 logZ --- 1.0292190313339233
observation --- [69, 754, 90, 606, 589, 663, 868] info --- {'sequence': ['N382', 'N194', 'N450', 'E110', 'E121', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.090082849227533 loss --- 858.6441040039062 logZ --- 1.0292190313339233
observation --- [108, 234, 645, 315, 335, 751, 868] info --- {'sequence': ['N16', 'N153', 'N115', 'E99', 'E96', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 95.46398162841797 logZ --- 1.0292190313339233
observation --- [18, 308, 674, 305, 725, 142, 868] info --- {'sequence': ['N341', 'N193', 'N32', 'E7', 'E179', 'E210', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.078075753000749 loss --- 876.8805541992188 logZ --- 1.0292190313339233
observation --- [111, 541, 9, 12, 70, 414, 868] info --- {'sequence': ['N221', 'N87', 'N238', 'E218', 'E92', 'E188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 71.43704223632812 logZ --- 1.0292190313339233
observation --- [362, 729, 113, 87, 620, 520, 868] info --- {'sequence': ['N366', 'N12', 'N515', 'E71', 'E229', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.331332506747374 loss --- 856.9735717773438 logZ --- 1.0340479612350464
observation --- [820, 202, 220, 755, 270, 827, 868] info --- {'sequence': ['N457', 'N376', 'N164', 'E79', 'E213', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 77.32220458984375 logZ --- 1.0340479612350464
