observation --- [854, 77, 343, 867] info --- {'sequence': ['N60', 'N477', 'N421', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.61309051513672 logZ --- 0.9832684397697449
observation --- [597, 591, 125, 867] info --- {'sequence': ['N440', 'N137', 'N197', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.84877014160156 logZ --- 0.9832684397697449
observation --- [657, 249, 341, 867] info --- {'sequence': ['N484', 'N321', 'N684', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.82173156738281 logZ --- 0.9794031381607056
observation --- [769, 297, 708, 867] info --- {'sequence': ['N51', 'N713', 'N287', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.63805389404297 logZ --- 0.9794031381607056
observation --- [21, 214, 343, 867] info --- {'sequence': ['N411', 'N592', 'N421', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.61703491210938 logZ --- 0.9794031381607056
observation --- [570, 438, 213, 867] info --- {'sequence': ['N516', 'N130', 'N479', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.34326171875 logZ --- 0.9794031381607056
observation --- [853, 429, 343, 867] info --- {'sequence': ['N298', 'N63', 'N421', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.77629852294922 logZ --- 0.9794031381607056
observation --- [316, 540, 546, 867] info --- {'sequence': ['N110', 'N695', 'N481', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.82746887207031 logZ --- 0.9751918911933899
observation --- [540, 481, 820, 867] info --- {'sequence': ['N695', 'N246', 'N457', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.064453125 logZ --- 0.9751918911933899
observation --- [635, 316, 303, 867] info --- {'sequence': ['N641', 'N110', 'N354', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.06961822509766 logZ --- 0.9751918911933899
observation --- [419, 64, 43, 867] info --- {'sequence': ['N225', 'N285', 'N645', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.31591033935547 logZ --- 0.9751918911933899
observation --- [695, 422, 149, 867] info --- {'sequence': ['N196', 'N579', 'N574', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.75525665283203 logZ --- 0.9751918911933899
observation --- [602, 357, 688, 867] info --- {'sequence': ['N19', 'N495', 'N125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.9966049194336 logZ --- 0.9707467555999756
observation --- [295, 147, 426, 867] info --- {'sequence': ['N679', 'N535', 'N504', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.6679692085034916 loss --- 139.8256072998047 logZ --- 0.9707467555999756
observation --- [2, 153, 816, 867] info --- {'sequence': ['N80', 'N117', 'N536', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.59646606445312 logZ --- 0.9707467555999756
observation --- [586, 602, 303, 867] info --- {'sequence': ['N682', 'N19', 'N354', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.76698303222656 logZ --- 0.9707467555999756
observation --- [861, 334, 303, 867] info --- {'sequence': ['N558', 'N163', 'N354', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.18773651123047 logZ --- 0.9707467555999756
observation --- [295, 635, 524, 867] info --- {'sequence': ['N679', 'N641', 'N134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.24268341064453 logZ --- 0.9663154482841492
observation --- [59, 55, 273, 867] info --- {'sequence': ['N23', 'N81', 'N270', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.84561920166016 logZ --- 0.9663154482841492
observation --- [519, 861, 473, 867] info --- {'sequence': ['N456', 'N558', 'N343', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.17377471923828 logZ --- 0.9663154482841492
observation --- [424, 512, 341, 867] info --- {'sequence': ['N18', 'N96', 'N684', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.0963363647461 logZ --- 0.9663154482841492
observation --- [444, 297, 303, 867] info --- {'sequence': ['N10', 'N713', 'N354', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.85372924804688 logZ --- 0.9663154482841492
observation --- [200, 597, 43, 867] info --- {'sequence': ['N621', 'N440', 'N645', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.76573944091797 logZ --- 0.9617077708244324
observation --- [21, 458, 341, 867] info --- {'sequence': ['N411', 'N610', 'N684', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.79411315917969 logZ --- 0.9617077708244324
observation --- [854, 147, 377, 867] info --- {'sequence': ['N60', 'N535', 'N667', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.4045884118206349 loss --- 126.5054931640625 logZ --- 0.9617077708244324
