observation --- [219, 337, 50, 867] info --- {'sequence': ['N611', 'N589', 'N435', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.6961441040039 logZ --- 0.9757864475250244
observation --- [316, 347, 645, 867] info --- {'sequence': ['N110', 'N447', 'N115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.14995574951172 logZ --- 0.9757864475250244
observation --- [39, 213, 365, 867] info --- {'sequence': ['N416', 'N479', 'N184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.96411895751953 logZ --- 0.9709228277206421
observation --- [540, 250, 134, 867] info --- {'sequence': ['N695', 'N9', 'N693', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.7602767944336 logZ --- 0.9709228277206421
observation --- [570, 284, 558, 867] info --- {'sequence': ['N516', 'N92', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.50574493408203 logZ --- 0.9709228277206421
observation --- [686, 22, 220, 867] info --- {'sequence': ['N126', 'N433', 'N164', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.08956146240234 logZ --- 0.9709228277206421
observation --- [266, 614, 841, 867] info --- {'sequence': ['N25', 'N328', 'N73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.75326538085938 logZ --- 0.9709228277206421
observation --- [67, 284, 433, 867] info --- {'sequence': ['N157', 'N92', 'N649', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.3189468383789 logZ --- 0.9660068154335022
observation --- [591, 264, 159, 867] info --- {'sequence': ['N137', 'N554', 'N461', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.25233459472656 logZ --- 0.9660068154335022
observation --- [482, 627, 263, 867] info --- {'sequence': ['N499', 'N198', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.19383239746094 logZ --- 0.9660068154335022
observation --- [214, 473, 50, 867] info --- {'sequence': ['N592', 'N343', 'N435', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.70698547363281 logZ --- 0.9660068154335022
observation --- [792, 688, 28, 867] info --- {'sequence': ['N277', 'N125', 'N39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.72864532470703 logZ --- 0.9660068154335022
observation --- [575, 660, 699, 867] info --- {'sequence': ['N571', 'N553', 'N219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.41680908203125 logZ --- 0.9610459804534912
observation --- [792, 708, 9, 867] info --- {'sequence': ['N277', 'N287', 'N238', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.98626708984375 logZ --- 0.9610459804534912
observation --- [778, 743, 220, 867] info --- {'sequence': ['N687', 'N400', 'N164', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.86763763427734 logZ --- 0.9610459804534912
observation --- [297, 341, 222, 867] info --- {'sequence': ['N713', 'N684', 'N385', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 78.46540832519531 logZ --- 0.9610459804534912
observation --- [422, 43, 558, 867] info --- {'sequence': ['N579', 'N645', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.95831298828125 logZ --- 0.9610459804534912
observation --- [826, 43, 464, 867] info --- {'sequence': ['N606', 'N645', 'N662', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2053808778247113 loss --- 121.00022888183594 logZ --- 0.9560562968254089
observation --- [424, 417, 659, 867] info --- {'sequence': ['N18', 'N86', 'N313', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.78462219238281 logZ --- 0.9560562968254089
observation --- [153, 43, 226, 867] info --- {'sequence': ['N117', 'N645', 'N267', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.28727722167969 logZ --- 0.9560562968254089
observation --- [695, 303, 806, 867] info --- {'sequence': ['N196', 'N354', 'N156', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.373291015625 logZ --- 0.9560562968254089
observation --- [65, 546, 490, 867] info --- {'sequence': ['N186', 'N481', 'N158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.81267547607422 logZ --- 0.9560562968254089
observation --- [357, 743, 825, 867] info --- {'sequence': ['N495', 'N400', 'N237', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.94501495361328 logZ --- 0.95122230052948
observation --- [861, 688, 54, 867] info --- {'sequence': ['N558', 'N125', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.34814453125 logZ --- 0.95122230052948
observation --- [861, 546, 54, 867] info --- {'sequence': ['N558', 'N481', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.15325927734375 logZ --- 0.95122230052948
observation --- [297, 526, 428, 867] info --- {'sequence': ['N713', 'N528', 'N492', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.0728530883789 logZ --- 0.95122230052948
observation --- [295, 688, 365, 867] info --- {'sequence': ['N679', 'N125', 'N184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.22398376464844 logZ --- 0.95122230052948
observation --- [853, 614, 761, 867] info --- {'sequence': ['N298', 'N328', 'N327', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.5755844116211 logZ --- 0.9463394284248352
observation --- [792, 773, 50, 867] info --- {'sequence': ['N277', 'N102', 'N435', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.26760864257812 logZ --- 0.9463394284248352
observation --- [200, 264, 761, 867] info --- {'sequence': ['N621', 'N554', 'N327', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.81005859375 logZ --- 0.9463394284248352
observation --- [826, 708, 714, 867] info --- {'sequence': ['N606', 'N287', 'N697', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 89.06080627441406 logZ --- 0.9463394284248352
observation --- [65, 660, 714, 867] info --- {'sequence': ['N186', 'N553', 'N697', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.45826721191406 logZ --- 0.9463394284248352
observation --- [602, 264, 659, 867] info --- {'sequence': ['N19', 'N554', 'N313', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0530755004449608 loss --- 135.5031280517578 logZ --- 0.9414076209068298
observation --- [812, 310, 263, 867] info --- {'sequence': ['N415', 'N508', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.69641876220703 logZ --- 0.9414076209068298
observation --- [200, 337, 222, 867] info --- {'sequence': ['N621', 'N589', 'N385', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.57878875732422 logZ --- 0.9414076209068298
observation --- [570, 614, 714, 867] info --- {'sequence': ['N516', 'N328', 'N697', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.91563415527344 logZ --- 0.9414076209068298
observation --- [695, 473, 814, 867] info --- {'sequence': ['N196', 'N343', 'N190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.86128234863281 logZ --- 0.9414076209068298
observation --- [422, 473, 263, 867] info --- {'sequence': ['N579', 'N343', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.94744110107422 logZ --- 0.9366040825843811
observation --- [294, 688, 659, 867] info --- {'sequence': ['N315', 'N125', 'N313', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.9264907836914 logZ --- 0.9366040825843811
observation --- [21, 688, 653, 867] info --- {'sequence': ['N411', 'N125', 'N600', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.85283660888672 logZ --- 0.9366040825843811
observation --- [481, 341, 706, 867] info --- {'sequence': ['N246', 'N684', 'N50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.91899108886719 logZ --- 0.9366040825843811
observation --- [316, 708, 54, 867] info --- {'sequence': ['N110', 'N287', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.49560546875 logZ --- 0.9366040825843811
observation --- [122, 614, 34, 867] info --- {'sequence': ['N245', 'N328', 'N57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0259570829226752 loss --- 107.02664947509766 logZ --- 0.9317394495010376
observation --- [826, 348, 653, 867] info --- {'sequence': ['N606', 'N268', 'N600', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.5789566040039 logZ --- 0.9317394495010376
observation --- [77, 348, 34, 867] info --- {'sequence': ['N477', 'N268', 'N57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1204474806611018 loss --- 107.2292709350586 logZ --- 0.9317394495010376
observation --- [191, 743, 706, 867] info --- {'sequence': ['N474', 'N400', 'N50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.29439544677734 logZ --- 0.9317394495010376
observation --- [295, 310, 766, 867] info --- {'sequence': ['N679', 'N508', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.95429992675781 logZ --- 0.9317394495010376
observation --- [602, 614, 50, 867] info --- {'sequence': ['N19', 'N328', 'N435', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.63482666015625 logZ --- 0.9272271394729614
observation --- [2, 773, 674, 867] info --- {'sequence': ['N80', 'N102', 'N32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.55553436279297 logZ --- 0.9272271394729614
observation --- [512, 250, 244, 867] info --- {'sequence': ['N96', 'N9', 'N601', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.13890075683594 logZ --- 0.9272271394729614
observation --- [67, 337, 372, 867] info --- {'sequence': ['N157', 'N589', 'N607', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0160954936428244 loss --- 120.92005157470703 logZ --- 0.9272271394729614
observation --- [444, 773, 34, 867] info --- {'sequence': ['N10', 'N102', 'N57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2032796176837628 loss --- 108.27716064453125 logZ --- 0.9272271394729614
observation --- [681, 337, 365, 867] info --- {'sequence': ['N353', 'N589', 'N184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.62531280517578 logZ --- 0.9230499863624573
observation --- [657, 284, 569, 867] info --- {'sequence': ['N484', 'N92', 'N434', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.59004211425781 logZ --- 0.9230499863624573
observation --- [219, 773, 710, 867] info --- {'sequence': ['N611', 'N102', 'N404', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.54776763916016 logZ --- 0.9230499863624573
observation --- [59, 614, 222, 867] info --- {'sequence': ['N23', 'N328', 'N385', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.34757232666016 logZ --- 0.9230499863624573
observation --- [200, 660, 265, 867] info --- {'sequence': ['N621', 'N553', 'N398', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.16983032226562 logZ --- 0.9230499863624573
observation --- [295, 337, 766, 867] info --- {'sequence': ['N679', 'N589', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.11304473876953 logZ --- 0.9187081456184387
observation --- [635, 786, 54, 867] info --- {'sequence': ['N641', 'N422', 'N93', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.79283142089844 logZ --- 0.9187081456184387
observation --- [812, 627, 523, 867] info --- {'sequence': ['N415', 'N198', 'N188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.32015228271484 logZ --- 0.9187081456184387
observation --- [419, 816, 766, 867] info --- {'sequence': ['N225', 'N536', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 93.63057708740234 logZ --- 0.9187081456184387
observation --- [481, 310, 222, 867] info --- {'sequence': ['N246', 'N508', 'N385', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.45479583740234 logZ --- 0.9187081456184387
observation --- [84, 773, 558, 867] info --- {'sequence': ['N410', 'N102', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.38990020751953 logZ --- 0.9142305254936218
observation --- [122, 341, 134, 867] info --- {'sequence': ['N245', 'N684', 'N693', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.71235656738281 logZ --- 0.9142305254936218
observation --- [357, 614, 552, 867] info --- {'sequence': ['N495', 'N328', 'N305', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.35124206542969 logZ --- 0.9142305254936218
observation --- [591, 743, 433, 867] info --- {'sequence': ['N137', 'N400', 'N649', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 77.69502258300781 logZ --- 0.9142305254936218
observation --- [586, 310, 9, 867] info --- {'sequence': ['N682', 'N508', 'N238', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.84463500976562 logZ --- 0.9142305254936218
observation --- [438, 473, 365, 867] info --- {'sequence': ['N130', 'N343', 'N184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 85.90642547607422 logZ --- 0.9096435904502869
observation --- [861, 125, 674, 867] info --- {'sequence': ['N558', 'N197', 'N32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.4652328491211 logZ --- 0.9096435904502869
