observation --- [697, 538, 826, 867] info --- {'sequence': ['N623', 'N578', 'N606', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.1700210571289 logZ --- 0.9756152033805847
observation --- [478, 309, 556, 867] info --- {'sequence': ['N4', 'N374', 'N717', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.77376556396484 logZ --- 0.9756152033805847
observation --- [290, 119, 154, 867] info --- {'sequence': ['N512', 'N229', 'N488', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.98530197143555 logZ --- 0.9706907868385315
observation --- [248, 45, 65, 867] info --- {'sequence': ['N174', 'N352', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.83952331542969 logZ --- 0.9706907868385315
observation --- [261, 797, 200, 867] info --- {'sequence': ['N618', 'N249', 'N621', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.45686340332031 logZ --- 0.9706907868385315
observation --- [640, 648, 153, 867] info --- {'sequence': ['N460', 'N111', 'N117', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.373756408691406 logZ --- 0.9706907868385315
observation --- [760, 160, 136, 867] info --- {'sequence': ['N513', 'N427', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.74570083618164 logZ --- 0.9706907868385315
observation --- [105, 236, 585, 867] info --- {'sequence': ['N417', 'N370', 'N20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.19180679321289 logZ --- 0.9657351970672607
observation --- [324, 652, 737, 867] info --- {'sequence': ['N42', 'N138', 'N333', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.94383239746094 logZ --- 0.9657351970672607
observation --- [247, 94, 438, 867] info --- {'sequence': ['N524', 'N462', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.285648345947266 logZ --- 0.9657351970672607
observation --- [852, 717, 316, 867] info --- {'sequence': ['N210', 'N204', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.07479476928711 logZ --- 0.9657351970672607
observation --- [856, 648, 77, 867] info --- {'sequence': ['N603', 'N111', 'N477', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.48031997680664 logZ --- 0.9657351970672607
observation --- [580, 573, 586, 867] info --- {'sequence': ['N223', 'N67', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.215213775634766 logZ --- 0.9607560634613037
observation --- [314, 162, 136, 867] info --- {'sequence': ['N365', 'N70', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.0428581237793 logZ --- 0.9607560634613037
observation --- [373, 652, 489, 867] info --- {'sequence': ['N538', 'N138', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.037109375 logZ --- 0.9607560634613037
observation --- [576, 257, 695, 867] info --- {'sequence': ['N455', 'N348', 'N196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.98370361328125 logZ --- 0.9607560634613037
observation --- [601, 514, 826, 867] info --- {'sequence': ['N128', 'N35', 'N606', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.09688949584961 logZ --- 0.9607560634613037
observation --- [171, 411, 294, 867] info --- {'sequence': ['N100', 'N175', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.76038360595703 logZ --- 0.955762505531311
observation --- [375, 652, 59, 867] info --- {'sequence': ['N288', 'N138', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.70128631591797 logZ --- 0.955762505531311
observation --- [326, 384, 297, 867] info --- {'sequence': ['N710', 'N140', 'N713', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.90935134887695 logZ --- 0.955762505531311
observation --- [186, 863, 489, 867] info --- {'sequence': ['N561', 'N293', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.41201782226562 logZ --- 0.955762505531311
observation --- [97, 257, 419, 867] info --- {'sequence': ['N112', 'N348', 'N225', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.221534729003906 logZ --- 0.955762505531311
observation --- [640, 209, 214, 867] info --- {'sequence': ['N460', 'N588', 'N592', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.91550827026367 logZ --- 0.9507559537887573
observation --- [145, 412, 316, 867] info --- {'sequence': ['N263', 'N226', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.633522033691406 logZ --- 0.9507559537887573
observation --- [375, 309, 21, 867] info --- {'sequence': ['N288', 'N374', 'N411', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.740264892578125 logZ --- 0.9507559537887573
observation --- [239, 235, 458, 867] info --- {'sequence': ['N420', 'N45', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.8279914855957 logZ --- 0.9507559537887573
observation --- [30, 648, 489, 867] info --- {'sequence': ['N29', 'N111', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.37385177612305 logZ --- 0.9507559537887573
observation --- [767, 51, 540, 867] info --- {'sequence': ['N259', 'N124', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.4979248046875 logZ --- 0.9457399845123291
observation --- [559, 797, 297, 867] info --- {'sequence': ['N129', 'N249', 'N713', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.56855773925781 logZ --- 0.9457399845123291
observation --- [176, 722, 686, 867] info --- {'sequence': ['N547', 'N430', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0594206651072753 loss --- 148.78497314453125 logZ --- 0.9457399845123291
observation --- [856, 514, 861, 867] info --- {'sequence': ['N603', 'N35', 'N558', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.044376373291016 logZ --- 0.9457399845123291
observation --- [574, 45, 214, 867] info --- {'sequence': ['N127', 'N352', 'N592', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.688838958740234 logZ --- 0.9457399845123291
observation --- [123, 96, 424, 867] info --- {'sequence': ['N90', 'N582', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.77392578125 logZ --- 0.9409126043319702
observation --- [228, 96, 519, 867] info --- {'sequence': ['N200', 'N582', 'N456', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0160550464574432 loss --- 167.17974853515625 logZ --- 0.9409126043319702
observation --- [705, 780, 438, 867] info --- {'sequence': ['N539', 'N368', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 68.39402770996094 logZ --- 0.9409126043319702
observation --- [760, 94, 67, 867] info --- {'sequence': ['N513', 'N462', 'N157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.311553955078125 logZ --- 0.9409126043319702
observation --- [733, 707, 19, 867] info --- {'sequence': ['N445', 'N149', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.94021224975586 logZ --- 0.9409126043319702
observation --- [661, 322, 19, 867] info --- {'sequence': ['N597', 'N141', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.01201629638672 logZ --- 0.9362598061561584
observation --- [289, 780, 485, 867] info --- {'sequence': ['N580', 'N368', 'N79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.5298080444336 logZ --- 0.9362598061561584
observation --- [712, 48, 635, 867] info --- {'sequence': ['N665', 'N281', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.16561126708984 logZ --- 0.9362598061561584
observation --- [601, 229, 297, 867] info --- {'sequence': ['N128', 'N431', 'N713', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.84794998168945 logZ --- 0.9362598061561584
observation --- [760, 340, 482, 867] info --- {'sequence': ['N513', 'N626', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.98735809326172 logZ --- 0.9362598061561584
observation --- [30, 684, 482, 867] info --- {'sequence': ['N29', 'N655', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.52824401855469 logZ --- 0.931533932685852
observation --- [601, 80, 575, 867] info --- {'sequence': ['N128', 'N672', 'N571', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.31230163574219 logZ --- 0.931533932685852
observation --- [247, 411, 792, 867] info --- {'sequence': ['N524', 'N175', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.48749542236328 logZ --- 0.931533932685852
observation --- [289, 320, 737, 867] info --- {'sequence': ['N580', 'N636', 'N333', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.78193283081055 logZ --- 0.931533932685852
observation --- [41, 684, 89, 867] info --- {'sequence': ['N551', 'N655', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.25508880615234 logZ --- 0.931533932685852
observation --- [141, 448, 602, 867] info --- {'sequence': ['N13', 'N545', 'N19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.43657684326172 logZ --- 0.9267436861991882
observation --- [128, 94, 297, 867] info --- {'sequence': ['N317', 'N462', 'N713', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.17214584350586 logZ --- 0.9267436861991882
observation --- [848, 45, 294, 867] info --- {'sequence': ['N581', 'N352', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.29507827758789 logZ --- 0.9267436861991882
observation --- [145, 707, 740, 867] info --- {'sequence': ['N263', 'N149', 'N150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.74273681640625 logZ --- 0.9267436861991882
observation --- [375, 235, 357, 867] info --- {'sequence': ['N288', 'N45', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.52931594848633 logZ --- 0.9267436861991882
observation --- [574, 797, 769, 867] info --- {'sequence': ['N127', 'N249', 'N51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.464778900146484 logZ --- 0.9219028353691101
observation --- [661, 441, 854, 867] info --- {'sequence': ['N597', 'N530', 'N60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.98516845703125 logZ --- 0.9219028353691101
observation --- [239, 51, 792, 867] info --- {'sequence': ['N420', 'N124', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.70868682861328 logZ --- 0.9219028353691101
observation --- [390, 229, 458, 867] info --- {'sequence': ['N330', 'N431', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.443443298339844 logZ --- 0.9219028353691101
observation --- [306, 160, 540, 867] info --- {'sequence': ['N614', 'N427', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.45695495605469 logZ --- 0.9219028353691101
observation --- [230, 327, 24, 867] info --- {'sequence': ['N654', 'N38', 'N160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.92578125 logZ --- 0.917025089263916
observation --- [31, 291, 2, 867] info --- {'sequence': ['N616', 'N64', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 49.525794982910156 logZ --- 0.917025089263916
