observation --- [540, 688, 85, 260, 408, 868] info --- {'sequence': ['N695', 'N125', 'N218', 'E83', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.116847206784821 loss --- 445.3706970214844 logZ --- 1.0200166702270508
observation --- [795, 773, 222, 632, 846, 868] info --- {'sequence': ['N408', 'N102', 'N385', 'E143', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3292966203429637 loss --- 458.8110046386719 logZ --- 1.0250089168548584
observation --- [570, 22, 710, 378, 610, 868] info --- {'sequence': ['N516', 'N433', 'N404', 'E29', 'E24', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.065693378448486 logZ --- 1.0250089168548584
observation --- [458, 417, 433, 759, 817, 868] info --- {'sequence': ['N610', 'N86', 'N649', 'E38', 'E88', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1437100616040858 loss --- 484.5723571777344 logZ --- 1.0250089168548584
observation --- [540, 786, 806, 293, 615, 868] info --- {'sequence': ['N695', 'N422', 'N156', 'E9', 'E141', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0279631386964472 loss --- 473.888916015625 logZ --- 1.0250089168548584
observation --- [597, 22, 28, 534, 70, 868] info --- {'sequence': ['N440', 'N433', 'N39', 'E126', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.258405841233943 loss --- 452.64703369140625 logZ --- 1.0250089168548584
observation --- [519, 22, 558, 846, 292, 868] info --- {'sequence': ['N456', 'N433', 'N3', 'E32', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3166669813866494 loss --- 461.4139099121094 logZ --- 1.0300363302230835
observation --- [334, 213, 490, 633, 120, 868] info --- {'sequence': ['N163', 'N479', 'N158', 'E198', 'E191', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1738710575400646 loss --- 466.94464111328125 logZ --- 1.0300363302230835
observation --- [695, 341, 714, 842, 243, 868] info --- {'sequence': ['N196', 'N684', 'N697', 'E68', 'E15', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.0251471996307373 logZ --- 1.0300363302230835
observation --- [826, 284, 88, 813, 687, 868] info --- {'sequence': ['N606', 'N92', 'N168', 'E203', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0684204158825124 loss --- 484.07135009765625 logZ --- 1.0300363302230835
observation --- [575, 605, 54, 774, 319, 868] info --- {'sequence': ['N571', 'N340', 'N93', 'E161', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.168875466964783 loss --- 469.51318359375 logZ --- 1.0300363302230835
