observation --- [432, 178, 769, 631, 70, 868] info --- {'sequence': ['N608', 'N444', 'N51', 'E187', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.23670431971549988 logZ --- 1.0030126571655273
observation --- [3, 143, 249, 443, 319, 868] info --- {'sequence': ['N555', 'N650', 'N321', 'E47', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0039675235748291016 logZ --- 1.0041602849960327
observation --- [310, 178, 316, 672, 808, 868] info --- {'sequence': ['N508', 'N444', 'N110', 'E201', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.31890669465065 logZ --- 1.0041602849960327
observation --- [377, 143, 826, 42, 40, 868] info --- {'sequence': ['N667', 'N650', 'N606', 'E160', 'E123', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.24243444204330444 logZ --- 1.0041602849960327
observation --- [66, 178, 219, 833, 520, 868] info --- {'sequence': ['N666', 'N444', 'N611', 'E89', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.07233794033527374 logZ --- 1.0041602849960327
observation --- [62, 178, 357, 391, 636, 868] info --- {'sequence': ['N489', 'N444', 'N495', 'E220', 'E82', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.3929315209388733 logZ --- 1.0041602849960327
observation --- [0, 143, 686, 292, 408, 868] info --- {'sequence': ['N274', 'N650', 'N126', 'E43', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.14295774698257446 logZ --- 1.004876732826233
observation --- [488, 143, 591, 620, 420, 868] info --- {'sequence': ['N273', 'N650', 'N137', 'E229', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0279332328802295 loss --- 373.8755187988281 logZ --- 1.004876732826233
observation --- [310, 143, 422, 275, 620, 868] info --- {'sequence': ['N508', 'N650', 'N579', 'E207', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.013305789791047573 logZ --- 1.004876732826233
observation --- [95, 143, 843, 431, 87, 868] info --- {'sequence': ['N483', 'N650', 'N320', 'E168', 'E71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.02415369264781475 logZ --- 1.004876732826233
observation --- [149, 178, 65, 115, 673, 868] info --- {'sequence': ['N574', 'N444', 'N186', 'E33', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.212575582757861 loss --- 400.47186279296875 logZ --- 1.004876732826233
observation --- [533, 178, 249, 480, 292, 868] info --- {'sequence': ['N6', 'N444', 'N321', 'E176', 'E43', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.689143717288971 logZ --- 1.0074331760406494
observation --- [78, 143, 438, 292, 33, 868] info --- {'sequence': ['N234', 'N650', 'N130', 'E43', 'E162', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.310467004776001 logZ --- 1.0074331760406494
observation --- [596, 178, 681, 846, 700, 868] info --- {'sequence': ['N428', 'N444', 'N353', 'E32', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.0825622081756592 logZ --- 1.0074331760406494
observation --- [730, 178, 769, 819, 687, 868] info --- {'sequence': ['N486', 'N444', 'N51', 'E137', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.10174047201871872 logZ --- 1.0074331760406494
observation --- [203, 178, 737, 232, 42, 868] info --- {'sequence': ['N139', 'N444', 'N333', 'E215', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.24136877059936523 logZ --- 1.0074331760406494
