observation --- [263, 383, 635, 867] info --- {'sequence': ['N76', 'N103', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.16934204101562 logZ --- 0.9749991297721863
observation --- [515, 25, 482, 867] info --- {'sequence': ['N71', 'N677', 'N499', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.35044860839844 logZ --- 0.9749991297721863
observation --- [102, 383, 294, 867] info --- {'sequence': ['N395', 'N103', 'N315', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.99258422851562 logZ --- 0.970001220703125
observation --- [387, 374, 191, 867] info --- {'sequence': ['N113', 'N142', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.46287536621094 logZ --- 0.970001220703125
observation --- [222, 25, 778, 867] info --- {'sequence': ['N385', 'N677', 'N687', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 130.67910766601562 logZ --- 0.970001220703125
observation --- [814, 25, 295, 867] info --- {'sequence': ['N190', 'N677', 'N679', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 133.74859619140625 logZ --- 0.970001220703125
observation --- [714, 25, 795, 867] info --- {'sequence': ['N697', 'N677', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.4154815673828 logZ --- 0.970001220703125
observation --- [342, 476, 59, 867] info --- {'sequence': ['N437', 'N585', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.9051284790039 logZ --- 0.9650028944015503
observation --- [317, 374, 219, 867] info --- {'sequence': ['N2', 'N142', 'N611', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 133.58360290527344 logZ --- 0.9650028944015503
observation --- [645, 374, 321, 867] info --- {'sequence': ['N115', 'N142', 'N231', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.43318176269531 logZ --- 0.9650028944015503
observation --- [714, 383, 21, 867] info --- {'sequence': ['N697', 'N103', 'N411', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 116.2865982055664 logZ --- 0.9650028944015503
observation --- [830, 476, 686, 867] info --- {'sequence': ['N282', 'N585', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.3551254272461 logZ --- 0.9650028944015503
observation --- [765, 374, 853, 867] info --- {'sequence': ['N449', 'N142', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 141.1389617919922 logZ --- 0.9600099325180054
observation --- [461, 374, 295, 867] info --- {'sequence': ['N359', 'N142', 'N679', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 139.5233917236328 logZ --- 0.9600099325180054
observation --- [598, 383, 67, 867] info --- {'sequence': ['N312', 'N103', 'N157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.9896240234375 logZ --- 0.9600099325180054
observation --- [834, 25, 219, 867] info --- {'sequence': ['N371', 'N677', 'N611', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.36593627929688 logZ --- 0.9600099325180054
observation --- [54, 374, 59, 867] info --- {'sequence': ['N93', 'N142', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.44641876220703 logZ --- 0.9600099325180054
observation --- [807, 383, 686, 867] info --- {'sequence': ['N99', 'N103', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.65887451171875 logZ --- 0.9550108313560486
observation --- [761, 476, 704, 867] info --- {'sequence': ['N327', 'N585', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.74449920654297 logZ --- 0.9550108313560486
observation --- [50, 25, 795, 867] info --- {'sequence': ['N435', 'N677', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.96372985839844 logZ --- 0.9550108313560486
observation --- [598, 25, 136, 867] info --- {'sequence': ['N312', 'N677', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.9181900024414 logZ --- 0.9550108313560486
observation --- [807, 383, 147, 867] info --- {'sequence': ['N99', 'N103', 'N535', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1951716426560672 loss --- 78.0218734741211 logZ --- 0.9550108313560486
observation --- [44, 383, 512, 867] info --- {'sequence': ['N719', 'N103', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.13790893554688 logZ --- 0.9501455426216125
observation --- [706, 383, 89, 867] info --- {'sequence': ['N50', 'N103', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.9078369140625 logZ --- 0.9501455426216125
observation --- [490, 374, 481, 867] info --- {'sequence': ['N158', 'N142', 'N246', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.34420776367188 logZ --- 0.9501455426216125
observation --- [222, 374, 458, 867] info --- {'sequence': ['N385', 'N142', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 138.3810577392578 logZ --- 0.9501455426216125
observation --- [9, 374, 704, 867] info --- {'sequence': ['N238', 'N142', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 139.8568572998047 logZ --- 0.9501455426216125
observation --- [756, 25, 67, 867] info --- {'sequence': ['N627', 'N677', 'N157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.469970703125 logZ --- 0.9452479481697083
observation --- [537, 383, 55, 867] info --- {'sequence': ['N215', 'N103', 'N81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.9462890625 logZ --- 0.9452479481697083
observation --- [428, 25, 59, 867] info --- {'sequence': ['N492', 'N677', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.99600982666016 logZ --- 0.9452479481697083
observation --- [454, 383, 84, 867] info --- {'sequence': ['N520', 'N103', 'N410', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.53300476074219 logZ --- 0.9452479481697083
observation --- [9, 383, 2, 867] info --- {'sequence': ['N238', 'N103', 'N80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.9570083618164 logZ --- 0.9452479481697083
observation --- [387, 383, 215, 867] info --- {'sequence': ['N113', 'N103', 'N176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.66739654541016 logZ --- 0.9403330683708191
observation --- [562, 476, 219, 867] info --- {'sequence': ['N68', 'N585', 'N611', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.4040298461914 logZ --- 0.9403330683708191
observation --- [834, 25, 586, 867] info --- {'sequence': ['N371', 'N677', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.61693572998047 logZ --- 0.9403330683708191
observation --- [810, 25, 540, 867] info --- {'sequence': ['N109', 'N677', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.78416442871094 logZ --- 0.9403330683708191
observation --- [54, 374, 444, 867] info --- {'sequence': ['N93', 'N142', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.11212158203125 logZ --- 0.9403330683708191
observation --- [562, 476, 704, 867] info --- {'sequence': ['N68', 'N585', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 132.2437286376953 logZ --- 0.9354036450386047
observation --- [386, 25, 540, 867] info --- {'sequence': ['N514', 'N677', 'N695', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.20713806152344 logZ --- 0.9354036450386047
observation --- [386, 25, 512, 867] info --- {'sequence': ['N514', 'N677', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.65142822265625 logZ --- 0.9354036450386047
observation --- [461, 383, 481, 867] info --- {'sequence': ['N359', 'N103', 'N246', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 122.46589660644531 logZ --- 0.9354036450386047
observation --- [825, 383, 792, 867] info --- {'sequence': ['N237', 'N103', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.45663452148438 logZ --- 0.9354036450386047
observation --- [515, 374, 19, 867] info --- {'sequence': ['N71', 'N142', 'N639', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.99969482421875 logZ --- 0.9304585456848145
observation --- [372, 383, 357, 867] info --- {'sequence': ['N607', 'N103', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 119.08320617675781 logZ --- 0.9304585456848145
observation --- [756, 25, 84, 867] info --- {'sequence': ['N627', 'N677', 'N410', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.2684097290039 logZ --- 0.9304585456848145
observation --- [598, 383, 147, 867] info --- {'sequence': ['N312', 'N103', 'N535', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.010412461744613 loss --- 72.71168518066406 logZ --- 0.9304585456848145
observation --- [428, 25, 200, 867] info --- {'sequence': ['N492', 'N677', 'N621', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 130.85043334960938 logZ --- 0.9304585456848145
observation --- [825, 476, 438, 867] info --- {'sequence': ['N237', 'N585', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.2787857055664 logZ --- 0.9256297945976257
