N621 N57 N157,0
N80 N39 N408,0
N186 N607 N558,0
N456 N190 N20,6613.29431
N456 N57 N246,6633.01165
N245 N367 N79,0
N535 N109 N196,6782.46136
N386 N76 N48,7654.844529999999
N416 N57 N717,7201.24022
N110 N57 N19,0
N535 N367 N48,0
N610 N367 N126,0
N535 N607 N20,8425.97961
N679 N662 N606,7780.857610000001
N516 N305 N416,0
N126 N39 N610,7373.35131
N416 N50 N403,7424.448710000001
N456 N57 N579,6766.0630599999995
N196 N367 N80,0
N488 N188 N456,0
N456 N367 N160,7668.4547299999995
N48 N39 N610,7471.86542
N126 N2 N25,6672.420329999999
N713 N367 N687,7358.550159999999
N535 N313 N408,8560.43797
N408 N607 N519,0
N25 N313 N321,0
N610 N514 N48,7182.78506
N429 N93 N519,6297.72049
N473 N190 N157,6746.98971
N196 N39 N687,6620.15
N245 N367 N163,6674.939999999999
N386 N367 N315,10357.1562
N245 N57 N137,5816.991820000001
N535 N627 N96,6940.10165
N386 N388 N416,7879.3127700000005
N386 N600 N386,0
N516 N600 N157,6985.580669999999
N333 N313 N19,6957.58363
N713 N39 N713,6076.4415
N386 N313 N160,0
N163 N99 N488,7208.595719999999
N386 N313 N126,7974.0512
N535 N39 N186,8353.79698
N386 N219 N456,7471.88398
N456 N50 N610,7203.235489999999
N96 N607 N186,7188.85097
N157 N367 N285,7825.753719999999
N80 N39 N473,7368.76116
N456 N39 N411,6836.57495
N484 N367 N403,7769.37924
N535 N367 N558,8494.3259
N611 N708 N48,6564.48328
N126 N466 N474,6301.761960000001
N176 N99 N679,6581.5482999999995
N386 N600 N516,7477.68324
N416 N39 N48,8007.64659
N611 N600 N80,6493.47635
N117 N367 N516,0
N386 N607 N415,0
N110 N76 N386,7065.95647
N679 N607 N610,7546.20521
N163 N367 N639,7699.56936
N535 N219 N610,7514.32875
N285 N607 N163,6667.93432
N79 N367 N456,7971.312089999999
N610 N662 N415,7523.4518
N429 N2 N386,7764.163760000001
N80 N466 N416,0
N163 N219 N48,7002.33215
N163 N367 N516,7718.53758
N126 N719 N516,6249.95128
N321 N367 N96,0
N477 N99 N79,8397.247220000001
N48 N514 N96,7428.0
N579 N367 N63,0
N231 N313 N717,6518.794089999999
N535 N93 N411,7403.4438
N410 N57 N80,0
N126 N190 N558,6698.319020000001
N186 N313 N298,0
N535 N39 N63,8002.4478
N10 N600 N456,6755.89515
N473 N57 N117,6672.48
N411 N50 N410,6517.70014
N473 N313 N416,7058.40903
N408 N39 N110,6835.08025
N473 N313 N519,6933.39088
N386 N161 N25,0
N429 N39 N110,6729.97349
N679 N57 N477,7499.44161
N558 N99 N410,7003.82488
N79 N39 N20,7256.00881
N126 N514 N117,5980.391679999999
N157 N492 N48,6973.97658
N535 N39 N558,0
N610 N161 N610,0
N535 N39 N63,8352.31
N485 N50 N416,0
N386 N313 N429,9424.10835
N687 N600 N279,8362.38927
N25 N39 N558,6989.60548
N679 N50 N473,7158.71834
N488 N607 N679,7395.76274
N592 N313 N60,0
N245 N367 N163,0
N10 N50 N279,6602.888
N137 N57 N157,6974.488439999999
N79 N313 N687,7216.12195
N333 N607 N473,7306.775420000001
N408 N99 N277,6925.32295
N717 N367 N321,0
N519 N313 N333,0
N519 N313 N713,6626.500590000001
N386 N601 N679,7930.37038
N474 N57 N416,0
N386 N607 N516,0
N535 N662 N163,8675.7049
N571 N50 N163,6616.38301
N18 N57 N456,6403.77103
N157 N93 N416,0
N246 N607 N416,6670.15653
N429 N708 N63,6054.410759999999
N687 N600 N80,0
N410 N39 N80,0
N713 N99 N456,7210.381720000001
N535 N99 N20,8650.29752
N51 N57 N96,0
N592 N367 N416,7624.7818099999995
N535 N50 N137,7470.4235499999995
N157 N607 N285,6863.78511
N246 N367 N126,7230.788079999998
N416 N607 N687,7615.401669999999
N176 N367 N639,7039.14868
N245 N57 N126,0
N231 N57 N285,6707.47
N79 N607 N20,0
N410 N600 N48,7357.16088
N25 N39 N79,7471.95
N48 N57 N429,7612.57517
N80 N313 N231,7180.699999999999
N641 N57 N477,0
N687 N57 N386,8312.89385
N333 N313 N117,6583.394
N411 N57 N484,6768.90552
N231 N188 N279,5530.23098
N80 N57 N416,7742.46309
N386 N158 N48,7846.90241
N535 N367 N411,8461.123300000001
N535 N367 N386,9515.5421
N408 N99 N298,6976.3647200000005
N231 N313 N285,6583.70538
N163 N39 N485,6233.8
N386 N466 N386,8710.08459
N411 N600 N96,6199.69238
N80 N607 N20,7225.48138
N717 N99 N411,6264.07565
N473 N168 N610,0
N80 N450 N579,5944.27807
N386 N39 N558,7605.49425
N485 N367 N96,6861.736470000001
N499 N367 N279,0
N519 N218 N48,6659.7588
N535 N219 N333,7957.04241
N96 N313 N411,0
N298 N99 N48,7449.8462
N558 N39 N126,7520.9563
N485 N367 N473,6835.12692
N477 N313 N80,0
N456 N662 N474,7695.74514
N571 N313 N110,6384.2607100000005
N679 N57 N80,7747.18967
N571 N313 N117,6164.00206
N96 N313 N484,7108.34895
N473 N190 N408,6131.340069999999
N298 N600 N516,6261.18
N416 N307 N48,0
N535 N39 N160,0
N25 N607 N621,6396.030589999999
N23 N367 N163,7339.78
N19 N57 N639,0
N157 N708 N48,0
N277 N367 N639,7385.70572
N386 N305 N610,0
N610 N99 N606,6728.985710000001
N535 N219 N163,7819.4675099999995
N641 N600 N157,6537.49137
N79 N39 N157,0
N231 N662 N126,8042.5206
N679 N313 N410,0
N429 N188 N456,0
N611 N99 N126,7204.72231
N386 N600 N558,0
N679 N600 N558,6679.74582
N429 N76 N63,0
N579 N50 N558,0
N488 N99 N126,7547.33575
N386 N388 N157,7802.38699
N48 N39 N408,7670.065699999999
N519 N313 N96,7005.32923
N96 N367 N416,8088.73792
N535 N161 N456,0
N535 N313 N231,8418.2798
N25 N39 N19,6753.44339
N117 N367 N157,7348.54693
N25 N219 N386,7699.77729
N157 N662 N411,7691.11752
N298 N600 N610,0
N48 N218 N456,0
N386 N601 N474,0
N25 N39 N60,6796.15305
N298 N99 N386,8021.6473399999995
N679 N76 N48,7033.088959999999
N130 N50 N416,6656.534250000001
N687 N367 N176,7286.14752
N48 N601 N410,7192.31532
N516 N367 N410,7837.67318
N321 N607 N687,0
N163 N50 N516,6820.93088
N408 N32 N416,6442.61122
N484 N601 N403,6176.164339999999
N535 N218 N157,9546.08843
N285 N367 N10,7185.75714
N157 N450 N126,7796.764159999999
N456 N99 N279,0
N416 N367 N321,7751.45738
N333 N313 N429,0
N474 N367 N126,9285.1792
N535 N367 N695,5742.99
N23 N367 N606,6244.93645
N687 N57 N277,0
N333 N50 N473,6994.7885799999995
N592 N313 N126,6249.74777
N713 N367 N415,7133.58534
N231 N57 N23,6582.618400000001
N535 N515 N611,7146.81453
N473 N313 N474,6537.1745599999995
N386 N607 N411,0
N535 N307 N429,8676.863780000001
N298 N313 N639,6432.35
N456 N2 N477,6675.30481
N535 N93 N186,0
N117 N367 N474,0
N79 N607 N440,6266.01466
N535 N39 N639,8238.406649999999
N713 N99 N415,0
N126 N662 N163,0
N488 N601 N429,6388.25261
N315 N708 N163,0
N610 N367 N410,7667.12701
N606 N2 N126,6706.042759999999
N474 N57 N333,7045.85392
N610 N68 N410,0
N48 N313 N163,0
N474 N57 N196,6483.25993
N10 N708 N157,0
N473 N219 N416,6809.63458
N713 N99 N408,6951.21677
N535 N3 N163,8157.18749
N80 N607 N641,6951.23474
N535 N39 N484,8310.54066
N713 N600 N456,0
N484 N514 N386,7874.0784
