N665 N224 N34,0
N654 N262 N304,0
N91 N84 N271,0
N128 N443 N113,0
N525 N636 N435,0
N424 N664 N190,0
N27 N544 N7,0
N603 N642 N2,0
N12 N636 N450,0
N581 N228 N158,0
N575 N544 N398,0
N129 N70 N219,0
N136 N293 N662,5635.483020000001
N503 N636 N607,0
N355 N348 N313,0
N390 N587 N32,0
N127 N588 N50,0
N288 N64 N313,0
N112 N443 N7,0
N455 N331 N158,0
N512 N138 N57,0
N44 N281 N367,0
N500 N236 N50,5655.02337
N614 N430 N662,0
N211 N236 N34,0
N202 N389 N129,0
N455 N443 N188,0
N288 N120 N367,0
N259 N45 N662,0
N580 N543 N601,0
N445 N443 N282,0
N539 N26 N219,0
N564 N138 N218,0
N689 N626 N367,0
N44 N70 N129,0
N255 N178 N32,0
N614 N443 N267,0
N710 N655 N267,0
N618 N262 N2,0
N689 N228 N113,0
N614 N362 N310,0
N524 N78 N520,0
N424 N329 N109,0
N561 N672 N113,0
N29 N426 N662,0
N317 N543 N3,0
N276 N84 N313,0
N581 N228 N190,0
N616 N578 N367,0
N317 N636 N188,0
N62 N189 N607,0
N42 N262 N267,0
N460 N462 N50,0
N551 N191 N435,0
N624 N664 N600,0
N201 N530 N188,0
N614 N352 N307,0
N623 N228 N50,0
N614 N45 N188,0
N335 N655 N435,0
N193 N228 N398,0
N112 N587 N662,0
N551 N293 N57,0
N90 N45 N188,0
N12 N84 N708,5500.2374500000005
N424 N664 N238,0
N387 N443 N2,0
N539 N664 N515,0
N557 N236 N607,5874.005730000001
N193 N372 N662,0
N390 N84 N184,0
N376 N262 N662,0
N44 N178 N190,0
N202 N617 N313,0
N276 N64 N218,0
N513 N138 N218,0
N87 N629 N190,0
N399 N352 N129,0
N112 N236 N307,0
N194 N293 N50,0
N654 N236 N7,5818.39902
N90 N578 N218,0
N257 N84 N607,0
N503 N84 N190,0
N62 N372 N3,0
N210 N281 N7,0
N62 N236 N307,0
N42 N626 N346,0
N665 N141 N304,0
N223 N443 N7,0
N282 N372 N267,0
N557 N228 N313,0
N689 N69 N662,0
N4 N281 N109,0
N200 N78 N271,0
N201 N149 N218,0
N355 N70 N367,0
N263 N443 N190,0
N44 N372 N184,0
N128 N189 N168,0
N200 N443 N662,6689.24279
N390 N69 N219,0
N174 N629 N238,0
