N535 N188 N364 E135 E126 E178,0
N279 N76 N572 E170 E223 E161,6525.9797
N63 N256 N172 E190 E34 E101,0
N535 N515 N391 E170 E35 E116,0
N641 N313 N133 E210 E111 E165,6093.77149
N516 N450 N300 E26 E121 E4,7005.47812
N611 N39 N383 E123 E87 E221,6597.35643
N96 N662 N300 E221 E11 E57,0
N473 N184 N300 E221 E207 E2,6239.003549999999
N519 N367 N300 E222 E203 E97,7481.6302000000005
N231 N450 N206 E36 E230 E121,0
N485 N2 N671 E44 E42 E163,6512.678360000001
N51 N32 N133 E194 E40 E190,6125.81399
N474 N492 N206 E57 E190 E229,0
N63 N708 N383 E165 E192 E187,6213.91107
N610 N719 N206 E5 E39 E52,6213.51929
N196 N282 N383 E47 E91 E77,6722.53169
N535 N307 N133 E23 E222 E20,10943.539499999999
N416 N57 N364 E9 E1 E178,0
N150 N57 N242 E78 E146 E47,7198.884980000001
N477 N346 N364 E66 E229 E148,6191.997109999998
N592 N601 N133 E143 E10 E126,7170.342540000001
N516 N466 N364 E11 E123 E86,6493.883679999999
N48 N219 N651 E8 E232 E32,6864.16
N279 N219 N206 E188 E57 E170,5770.991399999999
N386 N607 N206 E230 E101 E188,0
N579 N188 N651 E1 E219 E210,5814.362840000001
N157 N57 N172 E204 E141 E9,6884.9768
N415 N34 N206 E47 E15 E104,0
N516 N282 N133 E106 E11 E211,6252.69163
N473 N388 N364 E147 E97 E135,0
N535 N219 N671 E229 E21 E198,7275.27
N610 N607 N671 E161 E218 E30,0
N535 N662 N482 E229 E114 E5,8141.6084
N279 N600 N206 E24 E87 E83,6594.0923999999995
N488 N435 N133 E113 E5 E224,0
N485 N7 N133 E9 E215 E178,6241.12189
N456 N3 N572 E222 E77 E47,6832.49887
N298 N600 N172 E61 E22 E196,0
N18 N719 N242 E85 E154 E232,0
N519 N662 N133 E199 E218 E198,5633.409899999999
N610 N466 N671 E5 E201 E87,6143.79052
N641 N305 N300 E230 E36 E24,0
N386 N649 N300 E47 E222 E125,6580.267180000001
N79 N190 N300 E230 E221 E125,0
N79 N89 N671 E6 E79 E3,6033.89824
N277 N39 N651 E229 E203 E50,6879.61541
N429 N662 N206 E28 E59 E1,0
N416 N238 N364 E64 E19 E41,7378.7791799999995
N279 N307 N651 E126 E137 E108,0
N641 N39 N572 E10 E78 E187,7021.404330000001
N80 N282 N254 E203 E203 E47,6926.41145
N79 N3 N482 E105 E134 E78,0
N79 N3 N133 E104 E196 E11,0
N176 N367 N671 E91 E10 E134,0
N80 N57 N671 E21 E28 E33,7731.0678
N80 N39 N651 E34 E167 E177,6265.64
N610 N437 N133 E34 E2 E224,0
N456 N271 N651 E176 E110 E30,6809.22007
N321 N267 N364 E87 E222 E88,6115.47479
N298 N282 N332 E91 E4 E114,6183.12349
N679 N600 N572 E106 E224 E225,0
N80 N237 N133 E224 E83 E193,6404.17
N606 N161 N651 E222 E21 E34,0
N298 N256 N651 E16 E125 E135,0
N157 N219 N254 E125 E65 E208,5541.03553
N48 N158 N133 E225 E12 E110,7268.704449999999
N285 N520 N242 E78 E12 E2,7180.36295
N416 N39 N482 E13 E101 E81,7056.89884
N321 N57 N332 E223 E125 E141,6381.0801599999995
N535 N57 N383 E9 E94 E195,7708.51621
N429 N359 N172 E136 E28 E98,0
N79 N7 N300 E233 E207 E5,6052.78484
N535 N219 N242 E31 E216 E190,5817.9812600000005
N474 N435 N364 E193 E152 E101,6896.96444
N196 N662 N254 E223 E34 E77,0
N535 N450 N332 E177 E22 E196,7447.6117
N246 N627 N242 E108 E229 E123,0
N535 N708 N300 E77 E225 E94,7135.45542
N18 N68 N133 E20 E77 E186,0
N18 N708 N172 E11 E36 E97,0
N386 N282 N391 E65 E71 E20,0
N610 N515 N651 E201 E142 E2,6659.769180000001
N606 N3 N242 E196 E219 E134,6016.52346
N176 N435 N572 E225 E158 E14,0
N516 N50 N383 E12 E4 E141,7440.520530000002
N48 N2 N671 E64 E1 E79,10314.37544
N48 N662 N651 E21 E24 E114,7621.9973
N408 N3 N242 E147 E225 E230,0
N516 N50 N133 E45 E105 E157,6404.38119
N96 N601 N133 E68 E121 E217,6258.92217
N416 N99 N133 E111 E29 E39,0
N429 N607 N572 E1 E113 E24,7018.55707
N416 N662 N383 E15 E198 E47,0
N535 N310 N206 E1 E111 E40,7736.400379999999
N279 N708 N172 E201 E67 E41,6670.5497399999995
N416 N89 N572 E88 E34 E92,6367.51759
N641 N515 N133 E182 E96 E79,0
N519 N466 N300 E196 E188 E159,0
N516 N267 N482 E224 E141 E3,0
N63 N600 N482 E114 E198 E22,7117.35673
N429 N93 N651 E152 E7 E123,6476.67409
N456 N514 N300 E198 E21 E61,0
N403 N437 N254 E126 E137 E3,6128.58701
N386 N662 N391 E22 E109 E47,0
N484 N76 N671 E34 E87 E23,6427.60553
N176 N99 N482 E190 E99 E97,5883.074479999999
N315 N219 N572 E48 E146 E34,5881.20327
N519 N607 N383 E6 E224 E40,7030.9787400000005
N157 N267 N254 E78 E85 E7,6285.07128
N321 N313 N242 E170 E13 E121,0
N456 N7 N172 E107 E87 E215,0
N535 N367 N572 E101 E42 E83,8342.2326
N429 N50 N242 E39 E9 E39,7883.5747
N641 N7 N300 E152 E10 E30,7755.547130000001
N416 N514 N242 E41 E123 E32,7741.94787
N535 N662 N364 E1 E49 E160,0
N386 N99 N242 E37 E77 E9,0
N579 N267 N383 E95 E229 E49,0
N415 N158 N572 E91 E77 E205,0
N641 N164 N391 E129 E96 E45,0
N79 N57 N383 E83 E111 E135,0
N592 N492 N133 E196 E110 E215,0
N277 N39 N383 E184 E49 E32,7211.581750000001
N429 N398 N671 E32 E170 E187,6587.22305
N488 N282 N651 E130 E152 E161,0
N246 N313 N242 E21 E22 E24,7214.60419
N456 N313 N242 E101 E101 E14,7534.088140000002
N117 N99 N572 E176 E161 E17,6333.37028
N298 N461 N383 E19 E125 E29,0
N377 N708 N206 E10 E11 E204,0
N216 N607 N572 E147 E233 E21,6065.596
N415 N305 N364 E5 E148 E6,0
N163 N57 N206 E113 E232 E8,0
N579 N601 N206 E30 E63 E110,0
N216 N7 N482 E2 E166 E28,6445.16889
N216 N649 N254 E27 E17 E99,0
N279 N184 N391 E190 E24 E90,6059.34622
N516 N435 N300 E50 E130 E178,5980.68112
N96 N719 N172 E96 E36 E23,6848.50336
N186 N219 N671 E78 E109 E121,0
N558 N115 N172 E54 E134 E10,6500.21269
